type,id,label,current_url,new_url
flag,country_ind,India,https://flagcdn.com/w160/in.png,
flag,country_aus,Australia,https://flagcdn.com/w160/au.png,
flag,country_eng,England,https://flagcdn.com/w160/gb.png,
flag,country_sa,South Africa,https://flagcdn.com/w160/za.png,
flag,country_nz,New Zealand,https://flagcdn.com/w160/nz.png,
flag,country_pak,Pakistan,https://flagcdn.com/w160/pk.png,
flag,country_sl,Sri Lanka,https://flagcdn.com/w160/lk.png,
flag,country_wi,West Indies,https://flagcdn.com/w160/jm.png,
team_logo,team_mi,Mumbai Indians,https://documents.iplt20.com/ipl/MI/Logos/Logooutline/MIoutline.png,
team_logo,team_csk,Chennai Super Kings,https://documents.iplt20.com/ipl/CSK/logos/Logooutline/CSKoutline.png,
team_logo,team_rcb,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/RCB/Logos/Logooutline/RCBoutline.png,
team_logo,team_dc,Delhi Capitals,https://documents.iplt20.com/ipl/DC/Logos/LogoOutline/DCoutline.png,
team_logo,team_srh,Sunrisers Hyderabad,https://documents.iplt20.com/ipl/SRH/Logos/Logooutline/SRHoutline.png,
team_logo,team_rr,Rajasthan Royals,https://documents.iplt20.com/ipl/RR/Logos/Logooutline/RRoutline.png,
team_logo,team_kkr,Kolkata Knight Riders,https://documents.iplt20.com/ipl/KKR/Logos/Logooutline/KKRoutline.png,
team_logo,team_pbks,Punjab Kings,https://documents.iplt20.com/ipl/PBKS/Logos/Logooutline/PBKSoutline.png,
team_logo,team_gt,Gujarat Titans,https://documents.iplt20.com/ipl/GT/Logos/Logooutline/GToutline.png,
team_logo,team_lsg,Lucknow Super Giants,https://documents.iplt20.com/ipl/LSG/Logos/Logooutline/LSGoutline.png,
player,tm_dhoni,MS Dhoni,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/MS_Dhoni_%28Prabhav_%2723_-_RiGI_2023%29.jpg/250px-MS_Dhoni_%28Prabhav_%2723_-_RiGI_2023%29.jpg,
player,tm_kohli,Virat Kohli,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Virat_Kohli_in_PMO_New_Delhi.jpg/250px-Virat_Kohli_in_PMO_New_Delhi.jpg,
player,tm_sachin,Sachin Tendulkar,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/The_cricket_legend_Sachin_Tendulkar_at_the_Oval_Maidan_in_Mumbai_During_the_Duke_and_Duchess_of_Cambridge_Visit%2826271019082%29.jpg/250px-The_cricket_legend_Sachin_Tendulkar_at_the_Oval_Maidan_in_Mumbai_During_the_Duke_and_Duchess_of_Cambridge_Visit%2826271019082%29.jpg,
badge,ach_captains,Captains,/badges/captains.svg,
badge,ach_century_makers,Century Makers,/badges/century-makers.svg,
badge,ach_fastest_bowling,Fastest Bowling,/badges/fastest-bowling.svg,
badge,ach_aggressive_batsmen,Aggressive Batsmen,/badges/aggressive-batsmen.svg,
badge,ach_world_cup_winners,World Cup Winners,/badges/world-cup-winners.svg,
badge,ach_ipl_superstars,IPL Superstars,/badges/ipl-superstars.svg,
