id,name,country,primaryRole,iplTeams,headshot_url
ind_ms_dhoni,Mahendra Singh Dhoni,India,WK-Bat,CSK;RPS,
nz_brendon_mccullum,Brendon McCullum,New Zealand,WK-Bat,CSK;GL;KKR;KTK;RCB,
sa_faf_du_plessis,Faf du Plessis,South Africa,Batsman,CSK;DC;RCB;RPS,
pak_shahid_afridi,Shahid Afridi,Pakistan,Spin Bowler,DCH,
nz_mitchell_santner,Mitchell Santner,New Zealand,Spin Bowler,CSK;MI,
sl_kusal_mendis,Kusal Mendis,Sri Lanka,WK-Bat,GT,
nz_tom_latham,Tom Latham,New Zealand,WK-Bat,,
wi_denesh_ramdin,Denesh Ramdin,West Indies,WK-Bat,,
wi_nicholas_pooran,Nicholas Pooran,West Indies,WK-Bat,LSG;PBKS;SRH,
sl_kusal_perera,Kusal Perera,Sri Lanka,WK-Bat,RR,
nz_daryl_mitchell,Daryl Mitchell,New Zealand,Batsman,CSK;RR,
wi_darren_bravo,Darren Bravo,West Indies,Batsman,KKR,
nz_jimmy_neesham,Jimmy Neesham,New Zealand,All-Rounder,DC;MI;PBKS;RR,
sl_lahiru_thirimanne,Lahiru Thirimanne,Sri Lanka,Batsman,DCH,
sl_dhananjaya_de_silva,Dhananjaya de Silva,Sri Lanka,All-Rounder,,
sl_dasun_shanaka,Dasun Shanaka,Sri Lanka,Fast Bowler,GT,
ind_shardul_thakur,Shardul Thakur,India,Fast Bowler,CSK;DC;KKR;LSG;PBKS;RPS,
wi_rovman_powell,Rovman Powell,West Indies,Batsman,DC;KKR;RR,
wi_alzarri_joseph,Alzarri Joseph,West Indies,Fast Bowler,GT;MI;RCB,
nz_jacob_oram,Jacob Oram,New Zealand,All-Rounder,CSK;MI;RR,
ind_kedar_jadhav,Kedar Jadhav,India,WK-Bat,CSK;DC;KTK;RCB;SRH,
sa_heinrich_klaasen,Heinrich Klaasen,South Africa,WK-Bat,RCB;RR;SRH,
nz_devon_conway,Devon Conway,New Zealand,WK-Bat,CSK,
sl_pathum_nissanka,Pathum Nissanka,Sri Lanka,Batsman,,
sl_maheesh_theekshana,Maheesh Theekshana,Sri Lanka,Spin Bowler,CSK;RR,
nz_glenn_phillips,Glenn Phillips,New Zealand,Fast Bowler,RR;SRH,
sl_dushmantha_chameera,Dushmantha Chameera,Sri Lanka,Fast Bowler,DC;KKR;LSG,
ind_deepak_hooda,Deepak Hooda,India,Batsman,CSK;LSG;PBKS;RR;SRH,
ind_mohit_sharma,Mohit Sharma,India,Fast Bowler,CSK;DC;GT;PBKS,
nz_henry_nicholls,Henry Nicholls,New Zealand,Batsman,,
nz_nathan_mccullum,Nathan McCullum,New Zealand,WK-Bat,PW,
sa_chris_morris,Chris Morris,South Africa,Fast Bowler,CSK;DC;RCB;RR,
sl_ck_kapugedera,Chamara Kapugedera,Sri Lanka,Batsman,CSK,
sa_he_van_der_dussen,Rassie van der Dussen,South Africa,Batsman,RR,
eng_ls_livingstone,Liam Livingstone,England,Fast Bowler,PBKS;RCB;RR,
wi_e_lewis,Evin Lewis,West Indies,Batsman,LSG;MI;RR,
sl_kic_asalanka,Charith Asalanka,Sri Lanka,Fast Bowler,,
ind_hv_patel,Harshal Patel,India,Fast Bowler,DC;PBKS;RCB;SRH,
eng_tt_bresnan,Tim Bresnan,England,Fast Bowler,,
eng_hc_brook,Harry Brook,England,Batsman,SRH,
ind_sandeep_sharma,Sandeep Sharma,India,Fast Bowler,PBKS;RR;SRH,
aus_gb_hogg,Brad Hogg,Australia,Fast Bowler,KKR;RR,
sl_crd_fernando,Chandika Fernando,Sri Lanka,Fast Bowler,MI,
ind_ca_pujara,Cheteshwar Pujara,India,Batsman,KKR;PBKS;RCB,
sl_n_dickwella,Niroshan Dickwella,Sri Lanka,WK-Bat,,
pak_faheem_ashraf,Faheem Ashraf,Pakistan,Fast Bowler,,
wi_ba_king,Brandon King,West Indies,Batsman,,
nz_c_munro,Colin Munro,New Zealand,Batsman,DC;KKR,
pak_mohammad_nawaz,Mohammad Nawaz,Pakistan,Fast Bowler,,
ind_jd_unadkat,Jaydev Unadkat,India,Fast Bowler,DC;KKR;LSG;MI;RCB;RPS;RR;SRH,
sl_mf_maharoof,Farveez Maharoof,Sri Lanka,Fast Bowler,DC,
nz_cj_anderson,Corey Anderson,New Zealand,Fast Bowler,DC;MI;RCB,
sa_a_nortje,Anrich Nortje,South Africa,Fast Bowler,DC;KKR,
wi_r_shepherd,Romario Shepherd,West Indies,Fast Bowler,LSG;MI;RCB;SRH,
nz_mj_mcclenaghan,Mitchell McClenaghan,New Zealand,Fast Bowler,MI,
wi_aj_hosein,Akeal Hosein,West Indies,Fast Bowler,SRH,
sa_t_shamsi,Tabraiz Shamsi,South Africa,Spin Bowler,RCB;RR,
nz_ms_chapman,Mark Chapman,New Zealand,Batsman,,
eng_ijl_trott,Jonathan Trott,England,Batsman,,
sa_al_phehlukwayo,Andile Phehlukwayo,South Africa,Fast Bowler,,
nz_l_ronchi,Luke Ronchi,New Zealand,WK-Bat,MI,
eng_dj_willey,David Willey,England,Fast Bowler,CSK;RCB,
ind_cv_varun,Chakravarthy Varun,India,Fast Bowler,KKR;PBKS,
wi_j_charles,Johnson Charles,West Indies,WK-Bat,,
aus_c_green,Cameron Green,Australia,Fast Bowler,MI;RCB,
aus_nw_bracken,Nathan Bracken,Australia,Fast Bowler,,
ind_n_rana,Nitish Rana,India,Batsman,KKR;MI;RR,
eng_pd_salt,Phil Salt,England,Batsman,DC;KKR;RCB,
pak_asif_ali,Asif Ali,Pakistan,Batsman,,
ind_str_binny,Stuart Binny,India,Fast Bowler,MI;RCB;RR,
ind_ybk_jaiswal,Yashasvi Jaiswal,India,Batsman,RR,
ind_ravi_bishnoi,Ravi Bishnoi,India,Spin Bowler,LSG;PBKS,
aus_jr_hopes,James Hopes,Australia,Fast Bowler,DC;PBKS,
ind_abhishek_sharma,Abhishek Sharma,India,Batsman,DC;SRH,
nz_af_milne,Adam Milne,New Zealand,Fast Bowler,CSK;MI;RCB,
ind_mk_tiwary,Manoj Tiwary,India,Batsman,DC;KKR;PBKS;RPS,
sa_m_jansen,Marco Jansen,South Africa,Fast Bowler,MI;PBKS;SRH,
pak_agha_salman,Agha Salman,Pakistan,Fast Bowler,,
wi_fh_edwards,Fidel Edwards,West Indies,Fast Bowler,DCH,
nz_jd_ryder,Jesse Ryder,New Zealand,Batsman,PW;RCB,
ind_m_kaif,Mohammad Kaif,India,Batsman,PBKS;RCB;RR,
ind_avesh_khan,Avesh Khan,India,Fast Bowler,DC;LSG;RCB;RR,
ind_ds_kulkarni,Dhawal Kulkarni,India,Fast Bowler,GL;MI;RR,
eng_lj_wright,Luke Wright,England,Fast Bowler,PW,
pak_junaid_khan,Junaid Khan,Pakistan,Fast Bowler,,
sa_t_stubbs,Tristan Stubbs,South Africa,Batsman,DC;MI,
ind_rd_gaikwad,Ruturaj Gaikwad,India,Batsman,CSK,
sa_vd_philander,Vernon Philander,South Africa,Fast Bowler,,
wi_kr_mayers,Kyle Mayers,West Indies,Fast Bowler,LSG,
ind_m_prasidh_krishna,Prasidh Krishna,India,Fast Bowler,GT;KKR;RR,
sa_f_behardien,Farhaan Behardien,South Africa,Batsman,PBKS,
aus_nm_coulter_nile,Nathan Coulter-Nile,Australia,Fast Bowler,DC;KKR;MI;RR,
