id,name,country,current_headshot_url,new_url
ind_virat_kohli,Virat Kohli,India,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Virat_Kohli_in_PMO_New_Delhi.jpg/120px-Virat_Kohli_in_PMO_New_Delhi.jpg,
ind_rohit_sharma,Rohit Sharma,India,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Prime_Minister_Of_Bharat_Shri_Narendra_Damodardas_Modi_with_Shri_Rohit_Gurunath_Sharma_%28Cropped%29.jpg/120px-Prime_Minister_Of_Bharat_Shri_Narendra_Damodardas_Modi_with_Shri_Rohit_Gurunath_Sharma_%28Cropped%29.jpg,
ind_ravindra_jadeja,Ravindra Jadeja,India,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/PM_Shri_Narendra_Modi_with_Ravindra_Jadeja_%28Cropped%29.jpg/120px-PM_Shri_Narendra_Modi_with_Ravindra_Jadeja_%28Cropped%29.jpg,
sa_ab_de_villiers,AB de Villiers,South Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/AB_de_villiers_%28cropped%29.jpg/120px-AB_de_villiers_%28cropped%29.jpg,
aus_david_warner,David Warner,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/DAVID_WARNER_%2811704782453%29.jpg/120px-DAVID_WARNER_%2811704782453%29.jpg,
ind_suresh_raina,Suresh Raina,India,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Suresh_Raina_grace_the_%27Salaam_Sachin%27_conclave.jpg/120px-Suresh_Raina_grace_the_%27Salaam_Sachin%27_conclave.jpg,
eng_jos_buttler,Jos Buttler,England,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Jos_Buttler_in_2023.jpg/120px-Jos_Buttler_in_2023.jpg,
sl_kumar_sangakkara,Kumar Sangakkara,Sri Lanka,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Kumar_Sangakkara_bat_in_hand.JPG/120px-Kumar_Sangakkara_bat_in_hand.JPG,
ind_ravichandran_ashwin,Ravichandran Ashwin,India,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/The_Minister_of_State_for_Youth_Affairs_and_Sports_%28Independent_Charge%29%2C_Shri_Sarbananda_Sonowal_conferring_the_Arjuna_Award_on_cricketer_Ravichandran_Ashwin%2C_in_New_Delhi_on_July_31%2C_2015_cropped.jpg/120px-thumbnail.jpg,
sl_mahela_jayawardene,Mahela Jayawardene,Sri Lanka,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Mahela_Jayawardene_3.JPG/120px-Mahela_Jayawardene_3.JPG,
