id,name,country,role,stats_total_runs
ind_virat_kohli,Virat Kohli,India,Batsman,27874
ind_ms_dhoni,MS Dhoni,India,WK-Bat,16579
ind_rohit_sharma,Rohit Sharma,India,Batsman,19700
ind_ravindra_jadeja,Ravindra Jadeja,India,Spin Bowler,7463
ind_suresh_raina,Suresh Raina,India,Batsman,7902
ind_ravichandran_ashwin,Ravichandran Ashwin,India,Spin Bowler,4376
ind_shikhar_dhawan,Shikhar Dhawan,India,Batsman,10700
ind_yuvraj_singh,Yuvraj Singh,India,All-Rounder,9602
ind_dinesh_karthik,Dinesh Karthik,India,WK-Bat,3173
ind_bhuvneshwar_kumar,Bhuvneshwar Kumar,India,Fast Bowler,1171
ind_harbhajan_singh,Harbhajan Singh,India,Spin Bowler,2579
ind_ajinkya_rahane,Ajinkya Rahane,India,Batsman,8348
ind_hardik_pandya,Hardik Pandya,India,All-Rounder,4367
ind_gautam_gambhir,Gautam Gambhir,India,Batsman,9632
ind_kl_rahul,KL Rahul,India,WK-Bat,9418
ind_jasprit_bumrah,Jasprit Bumrah,India,Fast Bowler,450
ind_virender_sehwag,Virender Sehwag,India,Batsman,12118
ind_axar_patel,Axar Patel,India,Spin Bowler,2234
ind_yuzvendra_chahal,Yuzvendra Chahal,India,Spin Bowler,83
ind_ishant_sharma,Ishant Sharma,India,Fast Bowler,858
ind_mohammed_shami,Mohammed Shami,India,Fast Bowler,981
ind_sachin_tendulkar,Sachin Tendulkar,India,Batsman,12859
ind_zaheer_khan,Zaheer Khan,India,Fast Bowler,1474
ind_suryakumar_yadav,Suryakumar Yadav,India,Batsman,3843
ind_rahul_dravid,Rahul Dravid,India,WK-Bat,9679
ind_umesh_yadav,Umesh Yadav,India,Fast Bowler,535
ind_kuldeep_yadav,Kuldeep Yadav,India,Spin Bowler,475
ind_rishabh_pant,Rishabh Pant,India,WK-Bat,5489
ind_shreyas_iyer,Shreyas Iyer,India,Batsman,4867
ind_ambati_rayudu,Ambati Rayudu,India,Batsman,1679
ind_robin_uthappa,Robin Uthappa,India,WK-Bat,1183
ind_shubman_gill,Shubman Gill,India,Batsman,6642
ind_yusuf_pathan,Yusuf Pathan,India,Fast Bowler,1046
ind_sanju_samson,Sanju Samson,India,WK-Bat,1588
ind_irfan_pathan,Irfan Pathan,India,Fast Bowler,2142
ind_manish_pandey,Manish Pandey,India,Batsman,1267
ind_piyush_chawla,Piyush Chawla,India,Spin Bowler,44
ind_amit_mishra,Amit Mishra,India,Fast Bowler,691
ind_mohammed_siraj,Mohammed Siraj,India,Fast Bowler,225
ind_wriddhiman_saha,Wriddhiman Saha,India,WK-Bat,1394
ind_praveen_kumar,Praveen Kumar,India,Fast Bowler,448
ind_ashish_nehra,Ashish Nehra,India,Fast Bowler,119
ind_murali_vijay,Murali Vijay,India,Batsman,4337
ind_shardul_thakur,Shardul Thakur,India,Fast Bowler,775
ind_parthiv_patel,Parthiv Patel,India,WK-Bat,1234
ind_ishan_kishan,Ishan Kishan,India,WK-Bat,1995
ind_kedar_jadhav,Kedar Jadhav,India,WK-Bat,1440
ind_sourav_ganguly,Sourav Ganguly,India,Batsman,5029
ind_arshdeep_singh,Arshdeep Singh,India,Fast Bowler,140
ind_krunal_pandya,Krunal Pandya,India,Fast Bowler,254
ind_washington_sundar,Washington Sundar,India,Spin Bowler,1511
ind_rp_singh,RP Singh,India,Fast Bowler,222
ind_mayank_agarwal,Mayank Agarwal,India,Batsman,1574
ind_deepak_hooda,Deepak Hooda,India,Batsman,521
ind_mohit_sharma,Mohit Sharma,India,Fast Bowler,34
ind_munaf_patel,Munaf Patel,India,Fast Bowler,126
ind_r_vinay_kumar,R Vinay Kumar,India,Fast Bowler,99
ind_hv_patel,HV Patel,India,Fast Bowler,77
ind_pp_ojha,PP Ojha,India,Fast Bowler,145
ind_sandeep_sharma,Sandeep Sharma,India,Fast Bowler,1
ind_ca_pujara,CA Pujara,India,Batsman,7211
ind_jd_unadkat,JD Unadkat,India,Fast Bowler,36
ind_s_dube,S Dube,India,Fast Bowler,665
ind_dl_chahar,DL Chahar,India,Fast Bowler,244
ind_s_sreesanth,S Sreesanth,India,Fast Bowler,316
ind_vvs_laxman,VVS Laxman,India,Batsman,6239
ind_cv_varun,CV Varun,India,Fast Bowler,2
ind_n_rana,N Rana,India,Batsman,22
ind_str_binny,STR Binny,India,Fast Bowler,459
ind_ybk_jaiswal,YBK Jaiswal,India,Batsman,3333
ind_ravi_bishnoi,Ravi Bishnoi,India,Spin Bowler,69
