id,name,country,primaryRole,image_url
unk_r_tewatia,R Tewatia,,Fast Bowler,
unk_r_bhatia,R Bhatia,,Fast Bowler,
unk_sk_trivedi,SK Trivedi,,Fast Bowler,
unk_abdul_samad,Abdul Samad,,Batsman,
unk_sb_jakati,SB Jakati,,Fast Bowler,
unk_m_vohra,M Vohra,,Batsman,
unk_a_badoni,A Badoni,,Batsman,
unk_m_shahrukh_khan,M Shahrukh Khan,,Batsman,
unk_m_manhas,M Manhas,,Batsman,
unk_s_gopal,S Gopal,,Fast Bowler,
unk_p_simran_singh,P Simran Singh,,Batsman,
unk_iqbal_abdulla,Iqbal Abdulla,,Fast Bowler,
unk_harpreet_brar,Harpreet Brar,,Fast Bowler,
unk_lr_shukla,LR Shukla,,Batsman,
unk_m_ashwin,M Ashwin,,Spin Bowler,
unk_yash_dayal,Yash Dayal,,Fast Bowler,
unk_tl_suman,TL Suman,,Batsman,
unk_pj_sangwan,PJ Sangwan,,Fast Bowler,
unk_shashank_singh,Shashank Singh,,Batsman,
unk_mk_lomror,MK Lomror,,Batsman,
unk_ms_bisla,MS Bisla,,WK-Bat,
unk_n_wadhera,N Wadhera,,Batsman,
unk_noor_ahmad,Noor Ahmad,,Spin Bowler,
unk_ap_tare,AP Tare,,WK-Bat,
unk_r_sathish,R Sathish,,Batsman,
unk_bipul_sharma,Bipul Sharma,,Batsman,
unk_pv_tambe,PV Tambe,,Fast Bowler,
unk_vg_arora,VG Arora,,Fast Bowler,
unk_abishek_porel,Abishek Porel,,Batsman,
unk_db_ravi_teja,DB Ravi Teja,,Batsman,
unk_sp_goswami,SP Goswami,,WK-Bat,
unk_db_das,DB Das,,Batsman,
unk_a_ashish_reddy,A Ashish Reddy,,Batsman,
unk_as_rajpoot,AS Rajpoot,,Batsman,
unk_al_menaria,AL Menaria,,Batsman,
unk_lalit_yadav,Lalit Yadav,,Batsman,
unk_a_manohar,A Manohar,,Batsman,
unk_suyash_sharma,Suyash Sharma,,Batsman,
unk_harmeet_singh,Harmeet Singh,,Fast Bowler,
unk_y_nagar,Y Nagar,,Batsman,
unk_basil_thampi,Basil Thampi,,Batsman,
unk_dh_yagnik,DH Yagnik,,WK-Bat,
unk_kk_cooper,KK Cooper,,Fast Bowler,
unk_ic_pandey,IC Pandey,,Batsman,
unk_mohammad_nabi,Mohammad Nabi,,Batsman,
unk_anuj_rawat,Anuj Rawat,,Batsman,
unk_mohsin_khan,Mohsin Khan,,Fast Bowler,
unk_ashutosh_sharma,Ashutosh Sharma,,Batsman,
unk_anureet_singh,Anureet Singh,,Batsman,
unk_pk_garg,PK Garg,,Batsman,
unk_naman_dhir,Naman Dhir,,Batsman,
