id,name,country,primaryRole,image_url
unk_p_baron,P Baron,Argentina,Batsman,
unk_a_kirschbaum,A Kirschbaum,Argentina,Fast Bowler,
unk_h_fennell,H Fennell,Argentina,Fast Bowler,
unk_a_ferguson,A Ferguson,Argentina,Batsman,
unk_t_rossi,T Rossi,Argentina,Batsman,
unk_aap_rivero,AAP Rivero,Argentina,Batsman,
unk_r_escobar,R Escobar,Argentina,Batsman,
unk_lucas_rossi,Lucas Rossi,Argentina,Batsman,
unk_santiago_iturbe,Santiago Iturbe,Argentina,Batsman,
unk_a_husain,A Husain,Argentina,Batsman,
unk_manuel_iturbe,Manuel Iturbe,Argentina,Batsman,
unk_la_musiani,LA Musiani,Argentina,Batsman,
unk_guido_angeletti,Guido Angeletti,Argentina,Batsman,
unk_a_mustafa,A Mustafa,Argentina,Batsman,
unk_santiago_duggan,Santiago Duggan,Argentina,Batsman,
unk_b_angeltti,B Angeltti,Argentina,Batsman,
unk_s_rossi,S Rossi,Argentina,Batsman,
