id,name,country,primaryRole,image_url
aus_david_warner,David Warner,Australia,Batsman,
aus_steve_smith,Steve Smith,Australia,Batsman,
aus_shane_watson,Shane Watson,Australia,All-Rounder,
aus_glenn_maxwell,Glenn Maxwell,Australia,All-Rounder,
aus_michael_clarke,Michael Clarke,Australia,Batsman,
aus_mitchell_starc,Mitchell Starc,Australia,Fast Bowler,
aus_mike_hussey,Mike Hussey,Australia,Batsman,
aus_aaron_finch,Aaron Finch,Australia,Batsman,
aus_ricky_ponting,Ricky Ponting,Australia,Batsman,
aus_mitchell_johnson,Mitchell Johnson,Australia,Fast Bowler,
aus_pat_cummins,Pat Cummins,Australia,Fast Bowler,
aus_mitchell_marsh,Mitchell Marsh,Australia,All-Rounder,
aus_josh_hazlewood,Josh Hazlewood,Australia,Fast Bowler,
aus_marcus_stoinis,Marcus Stoinis,Australia,Fast Bowler,
aus_brett_lee,Brett Lee,Australia,Fast Bowler,
aus_adam_gilchrist,Adam Gilchrist,Australia,WK-Bat,
aus_adam_zampa,Adam Zampa,Australia,Spin Bowler,
aus_matthew_wade,Matthew Wade,Australia,WK-Bat,
aus_travis_head,Travis Head,Australia,Batsman,
aus_brad_haddin,Brad Haddin,Australia,WK-Bat,
aus_andrew_symonds,Andrew Symonds,Australia,All-Rounder,
aus_shaun_marsh,Shaun Marsh,Australia,Batsman,
aus_matthew_hayden,Matthew Hayden,Australia,Batsman,
aus_cameron_white,Cameron White,Australia,Batsman,
aus_alex_carey,Alex Carey,Australia,WK-Bat,
aus_nathan_lyon,Nathan Lyon,Australia,Spin Bowler,
aus_david_hussey,David Hussey,Australia,Fast Bowler,
aus_george_bailey,George Bailey,Australia,Batsman,
aus_james_faulkner,James Faulkner,Australia,Fast Bowler,
aus_ut_khawaja,UT Khawaja,Australia,Batsman,
aus_gb_hogg,GB Hogg,Australia,Fast Bowler,
aus_m_labuschagne,M Labuschagne,Australia,Batsman,
aus_c_green,C Green,Australia,Fast Bowler,
aus_nw_bracken,NW Bracken,Australia,Fast Bowler,
aus_th_david,TH David,Australia,Batsman,
aus_jr_hopes,JR Hopes,Australia,Fast Bowler,
aus_dr_martyn,DR Martyn,Australia,Batsman,
aus_bj_hodge,BJ Hodge,Australia,Batsman,
aus_mc_henriques,MC Henriques,Australia,Fast Bowler,
aus_gd_mcgrath,GD McGrath,Australia,Fast Bowler,
aus_nm_coulter_nile,NM Coulter-Nile,Australia,Fast Bowler,
aus_sm_katich,SM Katich,Australia,Batsman,
aus_dt_christian,DT Christian,Australia,Fast Bowler,
aus_jp_inglis,JP Inglis,Australia,WK-Bat,
aus_pm_siddle,PM Siddle,Australia,Fast Bowler,
aus_rj_harris,RJ Harris,Australia,Fast Bowler,
aus_de_bollinger,DE Bollinger,Australia,Fast Bowler,
aus_td_paine,TD Paine,Australia,WK-Bat,
aus_shane_warne,Shane Warne,Australia,Spin Bowler,
aus_sw_tait,SW Tait,Australia,Fast Bowler,
aus_bw_hilfenhaus,BW Hilfenhaus,Australia,Fast Bowler,
aus_ac_agar,AC Agar,Australia,Fast Bowler,
aus_kw_richardson,KW Richardson,Australia,Fast Bowler,
aus_xj_doherty,XJ Doherty,Australia,Fast Bowler,
aus_sr_clark,SR Clark,Australia,Fast Bowler,
aus_nm_hauritz,NM Hauritz,Australia,Fast Bowler,
aus_aj_tye,AJ Tye,Australia,Fast Bowler,
aus_cj_mckay,CJ McKay,Australia,Fast Bowler,
aus_nt_ellis,NT Ellis,Australia,Fast Bowler,
aus_ac_voges,AC Voges,Australia,Batsman,
aus_ca_lynn,CA Lynn,Australia,Batsman,
aus_sa_abbott,SA Abbott,Australia,Fast Bowler,
aus_jn_gillespie,JN Gillespie,Australia,Fast Bowler,
aus_pj_hughes,PJ Hughes,Australia,Batsman,
aus_jl_pattinson,JL Pattinson,Australia,Fast Bowler,
aus_mw_short,MW Short,Australia,Batsman,
aus_psp_handscomb,PSP Handscomb,Australia,Batsman,
aus_jp_behrendorff,JP Behrendorff,Australia,Fast Bowler,
aus_dp_nannes,DP Nannes,Australia,Fast Bowler,
aus_cj_ferguson,CJ Ferguson,Australia,Batsman,
aus_jw_hastings,JW Hastings,Australia,Fast Bowler,
aus_ja_richardson,JA Richardson,Australia,Fast Bowler,
aus_ds_lehmann,DS Lehmann,Australia,Fast Bowler,
aus_sm_boland,SM Boland,Australia,Fast Bowler,
aus_djm_short,DJM Short,Australia,Batsman,
aus_ja_burns,JA Burns,Australia,Batsman,
aus_aj_turner,AJ Turner,Australia,Batsman,
aus_ms_kasprowicz,MS Kasprowicz,Australia,Fast Bowler,
aus_aj_bichel,AJ Bichel,Australia,Fast Bowler,
aus_b_stanlake,B Stanlake,Australia,Fast Bowler,
aus_bcj_cutting,BCJ Cutting,Australia,Batsman,
aus_mg_bevan,MG Bevan,Australia,Batsman,
aus_am_hardie,AM Hardie,Australia,Fast Bowler,
aus_jl_langer,JL Langer,Australia,Batsman,
aus_br_mcdermott,BR McDermott,Australia,Batsman,
aus_j_fraser_mcgurk,J Fraser-McGurk,Australia,Batsman,
aus_xc_bartlett,XC Bartlett,Australia,Fast Bowler,
aus_pm_nevill,PM Nevill,Australia,WK-Bat,
aus_jr_philippe,JR Philippe,Australia,Batsman,
aus_dr_sams,DR Sams,Australia,Batsman,
aus_cjl_rogers,CJL Rogers,Australia,Batsman,
aus_rp_meredith,RP Meredith,Australia,Batsman,
aus_mj_north,MJ North,Australia,Batsman,
aus_ij_harvey,IJ Harvey,Australia,Fast Bowler,
aus_mt_renshaw,MT Renshaw,Australia,Batsman,
aus_ba_williams,BA Williams,Australia,Fast Bowler,
aus_sh_johnson,SH Johnson,Australia,Batsman,
aus_c_connolly,C Connolly,Australia,Batsman,
aus_bj_dwarshuis,BJ Dwarshuis,Australia,Fast Bowler,
aus_mj_owen,MJ Owen,Australia,Batsman,
aus_ejm_cowan,EJM Cowan,Australia,Batsman,
aus_la_pomersbach,LA Pomersbach,Australia,Batsman,
aus_scg_macgill,SCG MacGill,Australia,Fast Bowler,
aus_mp_kuhnemann,MP Kuhnemann,Australia,Fast Bowler,
aus_b_laughlin,B Laughlin,Australia,Batsman,
aus_snj_o_keefe,SNJ O'Keefe,Australia,Fast Bowler,
aus_pa_jaques,PA Jaques,Australia,Batsman,
aus_mj_swepson,MJ Swepson,Australia,Fast Bowler,
aus_pj_forrest,PJ Forrest,Australia,Batsman,
aus_ab_mcdonald,AB McDonald,Australia,Batsman,
aus_ms_harris,MS Harris,Australia,Batsman,
aus_nj_maddinson,NJ Maddinson,Australia,Batsman,
aus_ct_bancroft,CT Bancroft,Australia,Batsman,
aus_t_sangha,T Sangha,Australia,Batsman,
aus_jj_krejza,JJ Krejza,Australia,Fast Bowler,
aus_mg_neser,MG Neser,Australia,Fast Bowler,
aus_jm_bird,JM Bird,Australia,Fast Bowler,
aus_sr_waugh,SR Waugh,Australia,Batsman,
aus_bj_webster,BJ Webster,Australia,Batsman,
aus_br_dunk,BR Dunk,Australia,Batsman,
aus_t_murphy,T Murphy,Australia,Fast Bowler,
aus_ml_lewis,ML Lewis,Australia,Batsman,
aus_jp_maher,JP Maher,Australia,Batsman,
aus_cj_boyce,CJ Boyce,Australia,Batsman,
aus_ga_manou,GA Manou,Australia,Batsman,
aus_s_konstas,S Konstas,Australia,Batsman,
aus_j_weatherald,J Weatherald,Australia,Batsman,
aus_jm_muirhead,JM Muirhead,Australia,Batsman,
