id,name,country,primaryRole,image_url
unk_aqib_iqbal,Aqib Iqbal,Austria,Fast Bowler,
unk_bilal_zalmai,Bilal Zalmai,Austria,Fast Bowler,
unk_sahel_zadran,Sahel Zadran,Austria,Fast Bowler,
unk_umair_tariq,Umair Tariq,Austria,Fast Bowler,
unk_razmal_shigiwal,Razmal Shigiwal,Austria,Batsman,
unk_karanbir_singh,Karanbir Singh,Austria,Batsman,
unk_a_randhawa,A Randhawa,Austria,Batsman,
unk_waqar_zalmai,Waqar Zalmai,Austria,Fast Bowler,
unk_baseer_khan,Baseer Khan,Austria,Batsman,
unk_m_simpson_parker,M Simpson-Parker,Austria,Batsman,
unk_abdullah_akbarjan,Abdullah Akbarjan,Austria,Fast Bowler,
unk_mps_cheema,MPS Cheema,Austria,Batsman,
unk_amar_naeem,Amar Naeem,Austria,Batsman,
unk_hamid_safi,Hamid Safi,Austria,Batsman,
unk_mirza_ahsan,Mirza Ahsan,Austria,Batsman,
unk_zeshan_arif,Zeshan Arif,Austria,Batsman,
unk_sfs_cheema,SFS Cheema,Austria,Batsman,
unk_shahil_momin,Shahil Momin,Austria,Batsman,
unk_a_nathwani,A Nathwani,Austria,Batsman,
unk_iqbal_hossain,Iqbal Hossain,Austria,Batsman,
unk_jaweed_sadran,Jaweed Sadran,Austria,Batsman,
unk_h_khogiyani,H Khogiyani,Austria,Batsman,
unk_i_asif,I Asif,Austria,Batsman,
unk_arsalan_arif,Arsalan Arif,Austria,Batsman,
unk_mansoor_safi,Mansoor Safi,Austria,Batsman,
unk_ziaurahman_shinwari,Ziaurahman Shinwari,Austria,Batsman,
unk_n_wijesekera,N Wijesekera,Austria,Batsman,
unk_abrar_bilal,Abrar Bilal,Austria,WK-Bat,
unk_ranjit_singh,Ranjit Singh,Austria,Batsman,
unk_habib_ahmadzai,Habib Ahmadzai,Austria,Batsman,
unk_j_ghelzai,J Ghelzai,Austria,Batsman,
unk_itibarshah_deedar,Itibarshah Deedar,Austria,Batsman,
unk_zeeshan_goraya,Zeeshan Goraya,Austria,Batsman,
unk_kr_jha,KR Jha,Austria,Batsman,
