id,name,country,primaryRole,image_url
unk_m_taylor,M Taylor,Bahamas,Batsman,
unk_k_hinds,K Hinds,Bahamas,Fast Bowler,
unk_festus_benn,Festus Benn,Bahamas,Batsman,
unk_j_jemison,J Jemison,Bahamas,WK-Bat,
unk_sandeep_goud,Sandeep Goud,Bahamas,Batsman,
unk_d_wheatley,D Wheatley,Bahamas,Batsman,
unk_gt_taylor,GT Taylor,Bahamas,Batsman,
unk_a_harris,A Harris,Bahamas,Batsman,
unk_e_duff,E Duff,Bahamas,Batsman,
unk_jr_barry,JR Barry,Bahamas,Batsman,
unk_dg_weakley,DG Weakley,Bahamas,Batsman,
unk_r_davson,R Davson,Bahamas,Batsman,
unk_rudolph_fox,Rudolph Fox,Bahamas,Batsman,
unk_r_smith,R Smith,Bahamas,Batsman,
unk_e_haven,E Haven,Bahamas,Batsman,
unk_a_gulati,A Gulati,Bahamas,Batsman,
unk_j_gallimore,J Gallimore,Bahamas,Batsman,
