id,name,country,primaryRole,image_url
unk_imran_anwar,Imran Anwar,Bahrain,Fast Bowler,
unk_ahmer_bin_nisar,Ahmer Bin Nisar,Bahrain,Batsman,
unk_rizwan_butt,Rizwan Butt,Bahrain,WK-Bat,
unk_junaid_aziz,Junaid Aziz,Bahrain,Batsman,
unk_abdul_majid_abbasi,Abdul Majid Abbasi,Bahrain,Fast Bowler,
unk_sohail_ahmed,Sohail Ahmed,Bahrain,Batsman,
unk_ali_dawood,Ali Dawood,Bahrain,Fast Bowler,
unk_haider_butt,Haider Butt,Bahrain,Batsman,
unk_fiaz_ahmed,Fiaz Ahmed,Bahrain,Batsman,
unk_p_kurup,P Kurup,Bahrain,WK-Bat,
unk_imran_khan,Imran Khan,Bahrain,Fast Bowler,
unk_sarfaraz_ali,Sarfaraz Ali,Bahrain,Fast Bowler,
unk_s_veerapathiran,S Veerapathiran,Bahrain,Fast Bowler,
unk_umer_imtiaz,Umer Imtiaz,Bahrain,WK-Bat,
unk_imran_ali_butt,Imran Ali Butt,Bahrain,WK-Bat,
unk_dk_mathias,DK Mathias,Bahrain,Batsman,
unk_waseeq_ahmed,Waseeq Ahmed,Bahrain,Batsman,
unk_asif_shaikh,Asif Shaikh,Bahrain,Batsman,
unk_muhammad_younis,Muhammad Younis,Bahrain,Batsman,
unk_shahid_mahmood,Shahid Mahmood,Bahrain,Batsman,
unk_sachin_kumar,Sachin Kumar,Bahrain,Batsman,
unk_shahbaz_badar,Shahbaz Badar,Bahrain,Batsman,
unk_naveena_shetty,Naveena Shetty,Bahrain,Batsman,
unk_s_sarthak,S Sarthak,Bahrain,Batsman,
unk_ubaid_minhas,Ubaid Minhas,Bahrain,Batsman,
unk_abdul_majid,Abdul Majid,Bahrain,Batsman,
unk_danish_jasnaik,Danish Jasnaik,Bahrain,Batsman,
unk_ss_shukla,SS Shukla,Bahrain,Batsman,
unk_sikder_billah,Sikder Billah,Bahrain,Batsman,
unk_muhammad_salman,Muhammad Salman,Bahrain,Batsman,
unk_asif_javed,Asif Javed,Bahrain,Batsman,
unk_ammad_uddin,Ammad Uddin,Bahrain,Batsman,
unk_anasim_khan,Anasim Khan,Bahrain,Batsman,
unk_mohsin_zaki,Mohsin Zaki,Bahrain,Batsman,
unk_muhammed_basil,Muhammed Basil,Bahrain,Batsman,
