id,name,country,primaryRole,image_url
ban_shakib_al_hasan,Shakib Al Hasan,Bangladesh,Spin Bowler,
ban_mushfiqur_rahim,Mushfiqur Rahim,Bangladesh,WK-Bat,
ban_mahmudullah,Mahmudullah,Bangladesh,All-Rounder,
ban_tamim_iqbal,Tamim Iqbal,Bangladesh,Batsman,
ban_mustafizur_rahman,Mustafizur Rahman,Bangladesh,Fast Bowler,
ban_mashrafe_mortaza,Mashrafe Mortaza,Bangladesh,Fast Bowler,
ban_liton_das,Liton Das,Bangladesh,WK-Bat,
ban_mehedi_hasan_miraz,Mehedi Hasan Miraz,Bangladesh,Fast Bowler,
ban_mohammad_ashraful,Mohammad Ashraful,Bangladesh,Fast Bowler,
ban_soumya_sarkar,Soumya Sarkar,Bangladesh,Fast Bowler,
ban_taskin_ahmed,Taskin Ahmed,Bangladesh,Fast Bowler,
ban_abdur_razzak,Abdur Razzak,Bangladesh,Fast Bowler,
ban_rubel_hossain,Rubel Hossain,Bangladesh,Fast Bowler,
ban_nazmul_hossain_shanto,Nazmul Hossain Shanto,Bangladesh,Batsman,
ban_imrul_kayes,Imrul Kayes,Bangladesh,Batsman,
ban_sabbir_rahman,Sabbir Rahman,Bangladesh,Batsman,
ban_nasir_hossain,Nasir Hossain,Bangladesh,Fast Bowler,
ban_mominul_haque,Mominul Haque,Bangladesh,Batsman,
ban_shoriful_islam,Shoriful Islam,Bangladesh,Fast Bowler,
ban_afif_hossain,Afif Hossain,Bangladesh,Batsman,
ban_shafiul_islam,Shafiul Islam,Bangladesh,Fast Bowler,
ban_towhid_hridoy,Towhid Hridoy,Bangladesh,Batsman,
ban_mahedi_hasan,Mahedi Hasan,Bangladesh,Fast Bowler,
ban_aftab_ahmed,Aftab Ahmed,Bangladesh,Batsman,
ban_mohammad_rafique,Mohammad Rafique,Bangladesh,Fast Bowler,
ban_shahriar_nafees,Shahriar Nafees,Bangladesh,Batsman,
ban_anamul_haque,Anamul Haque,Bangladesh,Batsman,
ban_taijul_islam,Taijul Islam,Bangladesh,Fast Bowler,
ban_shahadat_hossain,Shahadat Hossain,Bangladesh,Fast Bowler,
ban_nurul_hasan,Nurul Hasan,Bangladesh,WK-Bat,
ban_junaid_siddique,Junaid Siddique,Bangladesh,Batsman,
ban_habibul_bashar,Habibul Bashar,Bangladesh,Batsman,
ban_mosaddek_hossain,Mosaddek Hossain,Bangladesh,Fast Bowler,
ban_mohammad_saifuddin,Mohammad Saifuddin,Bangladesh,Fast Bowler,
ban_naeem_islam,Naeem Islam,Bangladesh,Fast Bowler,
ban_tanzid_hasan,Tanzid Hasan,Bangladesh,Batsman,
ban_raqibul_hasan,Raqibul Hasan,Bangladesh,Batsman,
ban_rishad_hossain,Rishad Hossain,Bangladesh,Fast Bowler,
ban_khaled_mashud,Khaled Mashud,Bangladesh,WK-Bat,
ban_mohammad_mithun,Mohammad Mithun,Bangladesh,Batsman,
ban_hasan_mahmud,Hasan Mahmud,Bangladesh,Fast Bowler,
ban_nasum_ahmed,Nasum Ahmed,Bangladesh,Fast Bowler,
ban_jaker_ali,Jaker Ali,Bangladesh,WK-Bat,
ban_syed_rasel,Syed Rasel,Bangladesh,Fast Bowler,
ban_al_amin_hossain,Al-Amin Hossain,Bangladesh,Fast Bowler,
ban_alok_kapali,Alok Kapali,Bangladesh,Batsman,
ban_tanzim_hasan_sakib,Tanzim Hasan Sakib,Bangladesh,Fast Bowler,
