id,name,country,primaryRole,image_url
unk_saber_zakhil,Saber Zakhil,Belgium,Batsman,
unk_shaheryar_butt,Shaheryar Butt,Belgium,Batsman,
unk_muhammad_muneeb,Muhammad Muneeb,Belgium,Batsman,
unk_khalid_ahmadi,Khalid Ahmadi,Belgium,Fast Bowler,
unk_sheraz_sheikh,Sheraz Sheikh,Belgium,Batsman,
unk_b_niaz,B Niaz,Belgium,Batsman,
unk_a_raza,A Raza,Belgium,Batsman,
unk_murid_ekrami,Murid Ekrami,Belgium,Batsman,
unk_s_jamil,S Jamil,Belgium,Batsman,
unk_aziz_mohammad,Aziz Mohammad,Belgium,Batsman,
unk_sajad_ahmadzai,Sajad Ahmadzai,Belgium,Batsman,
unk_iftikhar_kankhel,Iftikhar Kankhel,Belgium,Batsman,
unk_omid_mailk_khel,Omid Mailk Khel,Belgium,Batsman,
unk_muhammad_fahim,Muhammad Fahim,Belgium,Batsman,
unk_zaki_ul_hassan,Zaki Ul Hassan,Belgium,Batsman,
unk_ashiqullah_said,Ashiqullah Said,Belgium,Batsman,
unk_nsk_mehta,NSK Mehta,Belgium,Batsman,
unk_f_khaliq,F Khaliq,Belgium,Batsman,
unk_d_dewald,D Dewald,Belgium,Batsman,
unk_sazzad_hosen,Sazzad Hosen,Belgium,Batsman,
unk_mamoon_latif,Mamoon Latif,Belgium,Batsman,
unk_wahidullah_usmani,Wahidullah Usmani,Belgium,Batsman,
unk_adnan_razzaq,Adnan Razzaq,Belgium,Batsman,
unk_oj_herrington,OJ Herrington,Belgium,Batsman,
unk_rafiulah_alokozai,Rafiulah Alokozai,Belgium,Batsman,
unk_hadisullah_tarakhel,Hadisullah Tarakhel,Belgium,Batsman,
