id,name,country,primaryRole,image_url
ber_ts_fray,TS Fray,Bermuda,Batsman,
ber_dmw_rawlins,DMW Rawlins,Bermuda,Fast Bowler,
ber_dl_brangman,DL Brangman,Bermuda,Fast Bowler,
ber_d_sabir,D Sabir,Bermuda,Batsman,
ber_ogl_bascome,OGL Bascome,Bermuda,Batsman,
ber_s_smith,S Smith,Bermuda,WK-Bat,
ber_z_burgess,Z Burgess,Bermuda,Fast Bowler,
ber_ks_leverock,KS Leverock,Bermuda,Fast Bowler,
ber_t_manders,T Manders,Bermuda,Batsman,
ber_mo_jones,MO Jones,Bermuda,Fast Bowler,
ber_ac_douglas,AC Douglas,Bermuda,Batsman,
ber_rj_trott,RJ Trott,Bermuda,Fast Bowler,
ber_dc_stovell,DC Stovell,Bermuda,Batsman,
ber_jj_tucker,JJ Tucker,Bermuda,Batsman,
ber_k_fubler,K Fubler,Bermuda,Batsman,
ber_ad_dore,AD Dore,Bermuda,Batsman,
ber_ih_romaine,IH Romaine,Bermuda,Batsman,
ber_rdm_leverock,RDM Leverock,Bermuda,Batsman,
ber_o_bascome,O Bascome,Bermuda,Batsman,
ber_dl_hemp,DL Hemp,Bermuda,Batsman,
ber_jonte_smith,Jonte Smith,Bermuda,Batsman,
ber_lob_cann,LOB Cann,Bermuda,Batsman,
ber_jda_richardson,JDA Richardson,Bermuda,Batsman,
ber_j_proctor,J Proctor,Bermuda,Batsman,
ber_sd_outerbridge,SD Outerbridge,Bermuda,Batsman,
ber_gh_o_brien,GH O'Brien,Bermuda,Batsman,
ber_dap_darrell,DAP Darrell,Bermuda,Batsman,
ber_kad_hurdle,KAD Hurdle,Bermuda,Batsman,
ber_je_pitcher,JE Pitcher,Bermuda,Batsman,
ber_chare_smith,Chare Smith,Bermuda,Batsman,
ber_da_minors,DA Minors,Bermuda,Batsman,
ber_mj_scotland,MJ Scotland,Bermuda,Batsman,
ber_s_mukuddem,S Mukuddem,Bermuda,Batsman,
ber_cj_smith,CJ Smith,Bermuda,Batsman,
ber_j_edness,J Edness,Bermuda,Batsman,
ber_c_trott,C Trott,Bermuda,Batsman,
