id,name,country,primaryRole,image_url
unk_k_motlanka,K Motlanka,Botswana,WK-Bat,
unk_r_nehonde,R Nehonde,Botswana,Batsman,
unk_m_mooketsi,M Mooketsi,Botswana,Fast Bowler,
unk_v_balakrishnan,V Balakrishnan,Botswana,Batsman,
unk_t_tshose,T Tshose,Botswana,Fast Bowler,
unk_t_perera,T Perera,Botswana,Batsman,
unk_v_mbazo,V Mbazo,Botswana,WK-Bat,
unk_p_silas,P Silas,Botswana,Batsman,
unk_d_maisuria,D Maisuria,Botswana,Fast Bowler,
unk_k_piet,K Piet,Botswana,Fast Bowler,
unk_b_khumalo,B Khumalo,Botswana,Batsman,
unk_b_kgosiemang,B Kgosiemang,Botswana,Batsman,
unk_m_kasselman,M Kasselman,Botswana,Batsman,
unk_ameer_saiyed,Ameer Saiyed,Botswana,Batsman,
unk_a_rangaswamy,A Rangaswamy,Botswana,Batsman,
unk_k_modise,K Modise,Botswana,Batsman,
unk_jwn_moses,JWN Moses,Botswana,Batsman,
unk_b_maphosa,B Maphosa,Botswana,Batsman,
unk_i_master,I Master,Botswana,Batsman,
unk_m_badenhorst,M Badenhorst,Botswana,Batsman,
