id,name,country,primaryRole,image_url
unk_lh_rodrigues,LH Rodrigues,Brazil,Batsman,
unk_yasar_haroon,Yasar Haroon,Brazil,Batsman,
unk_lf_muller,LF Muller,Brazil,Batsman,
unk_mfi_assuncao,MFI Assuncao,Brazil,Batsman,
unk_g_oliveira,G Oliveira,Brazil,Batsman,
unk_w_maximo,W Maximo,Brazil,Batsman,
unk_cc_machado,CC Machado,Brazil,Batsman,
unk_ic_simao,IC Simao,Brazil,Batsman,
unk_r_avery,R Avery,Brazil,Batsman,
unk_l_maximo,L Maximo,Brazil,WK-Bat,
unk_muhammad_saleem,Muhammad Saleem,Brazil,Batsman,
unk_g_caisley,G Caisley,Brazil,Batsman,
unk_kawsar_khan,Kawsar Khan,Brazil,Batsman,
