id,name,country,primaryRole,image_url
unk_p_mishra,P Mishra,Bulgaria,Fast Bowler,
unk_h_lakov,H Lakov,Bulgaria,Fast Bowler,
unk_kc_d_souza,KC D'Souza,Bulgaria,Batsman,
unk_ia_de_silva,IA De Silva,Bulgaria,Batsman,
unk_d_nikolov,D Nikolov,Bulgaria,Batsman,
unk_dv_varghese,DV Varghese,Bulgaria,Batsman,
unk_omar_rassol,Omar Rassol,Bulgaria,Batsman,
unk_isa_zaroo,Isa Zaroo,Bulgaria,Batsman,
unk_danyal_raja,Danyal Raja,Bulgaria,Batsman,
unk_zeerak_chughtai,Zeerak Chughtai,Bulgaria,Batsman,
unk_j_albin,J Albin,Bulgaria,Batsman,
unk_m_gogev,M Gogev,Bulgaria,Batsman,
unk_asad_ali_rehemtulla,Asad Ali Rehemtulla,Bulgaria,Batsman,
unk_saim_hussain,Saim Hussain,Bulgaria,Batsman,
unk_gagandeep_singh,Gagandeep Singh,Bulgaria,Batsman,
unk_sulaiman_ali,Sulaiman Ali,Bulgaria,Batsman,
unk_manan_bashir,Manan Bashir,Bulgaria,Batsman,
unk_jakob_gul,Jakob Gul,Bulgaria,Batsman,
unk_m_kadyan,M Kadyan,Bulgaria,Batsman,
unk_i_katzarski,I Katzarski,Bulgaria,Batsman,
unk_bakhtiar_tahiri,Bakhtiar Tahiri,Bulgaria,Batsman,
unk_ahsan_khan,Ahsan Khan,Bulgaria,Batsman,
unk_firas_hussain,Firas Hussain,Bulgaria,Batsman,
unk_ali_rasool,Ali Rasool,Bulgaria,Batsman,
unk_j_dowling,J Dowling,Bulgaria,Batsman,
unk_sandeep_nair,Sandeep Nair,Bulgaria,Batsman,
unk_k_krishnakumar,K Krishnakumar,Bulgaria,Batsman,
unk_rohan_bhavesh_patel,Rohan Bhavesh Patel,Bulgaria,Batsman,
unk_a_ahmadhel,A Ahmadhel,Bulgaria,Batsman,
unk_zaid_soulat,Zaid Soulat,Bulgaria,Batsman,
unk_huzaif_yousuf,Huzaif Yousuf,Bulgaria,Batsman,
