id,name,country,primaryRole,image_url
unk_luqman_butt,Luqman Butt,Cambodia,Batsman,
unk_gc_murtaza,GC Murtaza,Cambodia,Fast Bowler,
unk_e_beukes,E Beukes,Cambodia,Batsman,
unk_us_hathinjar,US Hathinjar,Cambodia,Batsman,
unk_shah_abrar_hussain,Shah Abrar Hussain,Cambodia,Fast Bowler,
unk_lakshit_gupta,Lakshit Gupta,Cambodia,Batsman,
unk_nt_gireesh,NT Gireesh,Cambodia,Batsman,
unk_utkarsh_jain,Utkarsh Jain,Cambodia,Fast Bowler,
unk_salvin_stanly,Salvin Stanly,Cambodia,Batsman,
unk_s_godara,S Godara,Cambodia,Batsman,
unk_rr_sharan,RR Sharan,Cambodia,Batsman,
unk_prasad_anish,Prasad Anish,Cambodia,Batsman,
unk_m_chadha,M Chadha,Cambodia,Batsman,
unk_phon_bunthean,Phon Bunthean,Cambodia,Batsman,
unk_manish_sharma,Manish Sharma,Cambodia,Batsman,
unk_marcelle_hanekom,Marcelle Hanekom,Cambodia,Batsman,
unk_muhammad_naeem,Muhammad Naeem,Cambodia,Batsman,
unk_nirmaljit_singh,Nirmaljit Singh,Cambodia,Batsman,
unk_mongdara_sok,Mongdara Sok,Cambodia,Batsman,
unk_pel_vannak,Pel Vannak,Cambodia,Batsman,
unk_pk_shoufeer,PK Shoufeer,Cambodia,Batsman,
unk_sivakumar,Sivakumar,Cambodia,Batsman,
unk_md_shuayeb,Md Shuayeb,Cambodia,Batsman,
