id,name,country,primaryRole,image_url
can_saad_bin_zafar,Saad Bin Zafar,Canada,Fast Bowler,
can_d_heyliger,D Heyliger,Canada,Fast Bowler,
can_h_thaker,H Thaker,Canada,Fast Bowler,
can_kaleem_sana,Kaleem Sana,Canada,Fast Bowler,
can_nr_kirton,NR Kirton,Canada,Batsman,
can_ns_dhaliwal,NS Dhaliwal,Canada,Batsman,
can_a_johnson,A Johnson,Canada,Batsman,
can_pargat_singh,Pargat Singh,Canada,Batsman,
can_s_movva,S Movva,Canada,WK-Bat,
can_ravinderpal_singh,Ravinderpal Singh,Canada,Batsman,
can_nr_kumar,NR Kumar,Canada,Batsman,
can_n_dutta,N Dutta,Canada,Fast Bowler,
can_a_bagai,A Bagai,Canada,WK-Bat,
can_rizwan_cheema,Rizwan Cheema,Canada,WK-Bat,
can_junaid_siddiqui,Junaid Siddiqui,Canada,Batsman,
can_hamza_tariq,Hamza Tariq,Canada,WK-Bat,
can_joa_gordon,JOA Gordon,Canada,Fast Bowler,
can_sa_wijeratne,SA Wijeratne,Canada,WK-Bat,
can_ds_bajwa,DS Bajwa,Canada,Batsman,
can_ys_samra,YS Samra,Canada,Batsman,
can_hs_baidwan,HS Baidwan,Canada,Fast Bowler,
can_jaskaran_singh,Jaskaran Singh,Canada,Batsman,
can_as_hansra,AS Hansra,Canada,Batsman,
can_h_osinde,H Osinde,Canada,Fast Bowler,
can_h_patel,H Patel,Canada,Batsman,
can_r_gunasekera,R Gunasekera,Canada,Batsman,
can_akhil_kumar,Akhil Kumar,Canada,Batsman,
can_jm_davison,JM Davison,Canada,Batsman,
can_shivam_sharma,Shivam Sharma,Canada,Fast Bowler,
can_m_spoors,M Spoors,Canada,Batsman,
can_k_tathgur,K Tathgur,Canada,WK-Bat,
can_parveen_kumar,Parveen Kumar,Canada,Batsman,
can_s_dhaniram,S Dhaniram,Canada,Fast Bowler,
can_u_bhatti,U Bhatti,Canada,Batsman,
can_khurram_chohan,Khurram Chohan,Canada,Batsman,
can_is_billcliff,IS Billcliff,Canada,Batsman,
can_r_pathan,R Pathan,Canada,Batsman,
can_ammar_khalid,Ammar Khalid,Canada,Batsman,
can_dr_chumney,DR Chumney,Canada,Batsman,
can_am_samad,AM Samad,Canada,Batsman,
can_raza_ur_rehman,Raza-ur-Rehman,Canada,Batsman,
can_ze_surkari,ZE Surkari,Canada,Batsman,
can_usman_limbada,Usman Limbada,Canada,Batsman,
can_ali_nadeem,Ali Nadeem,Canada,Batsman,
can_u_bhagwan,U Bhagwan,Canada,Batsman,
can_shahid_ahmadzai,Shahid Ahmadzai,Canada,Batsman,
can_rr_joshi,RR Joshi,Canada,Batsman,
can_ansh_patel,Ansh Patel,Canada,Batsman,
can_aa_mulla,AA Mulla,Canada,Batsman,
can_gdr_eranga,GDR Eranga,Canada,Batsman,
can_gef_barnett,GEF Barnett,Canada,Batsman,
can_wd_balaji_rao,WD Balaji Rao,Canada,Batsman,
can_j_matharu,J Matharu,Canada,Batsman,
can_ra_thomas,RA Thomas,Canada,Batsman,
can_salman_nazar,Salman Nazar,Canada,Batsman,
can_gr_codrington,GR Codrington,Canada,Batsman,
can_a_codrington,A Codrington,Canada,Batsman,
can_tg_gordon,TG Gordon,Canada,Batsman,
can_i_maraj,I Maraj,Canada,Batsman,
can_jv_harris,JV Harris,Canada,Batsman,
can_na_de_groot,NA de Groot,Canada,Batsman,
can_m_gill,M Gill,Canada,Batsman,
can_abraash_khan,Abraash Khan,Canada,Batsman,
can_sukhjinder_singh,Sukhjinder Singh,Canada,Batsman,
can_s_thuraisingam,S Thuraisingam,Canada,Batsman,
can_qaiser_ali,Qaiser Ali,Canada,Batsman,
can_tc_bastiampillai,TC Bastiampillai,Canada,Batsman,
can_pa_desai,PA Desai,Canada,Batsman,
