id,name,country,primaryRole,image_url
unk_c_wright,C Wright,Cayman Islands,Fast Bowler,
unk_ra_sealy,RA Sealy,Cayman Islands,Batsman,
unk_a_morris,A Morris,Cayman Islands,Fast Bowler,
unk_ysd_seneveratne,YSD Seneveratne,Cayman Islands,Batsman,
unk_af_ifill,AF Ifill,Cayman Islands,Fast Bowler,
unk_ar_naidoo,AR Naidoo,Cayman Islands,Batsman,
unk_roc_dunka,ROC Dunka,Cayman Islands,Batsman,
unk_j_baker,J Baker,Cayman Islands,Batsman,
unk_t_taylor,T Taylor,Cayman Islands,Batsman,
unk_a_wright,A Wright,Cayman Islands,Batsman,
unk_s_foster,S Foster,Cayman Islands,Batsman,
unk_bkb_corbin,BKB Corbin,Cayman Islands,Batsman,
unk_p_manning,P Manning,Cayman Islands,Batsman,
unk_r_walker,R Walker,Cayman Islands,Batsman,
unk_kr_ebanks,KR Ebanks,Cayman Islands,Batsman,
unk_d_johnson_2,D Johnson,Cayman Islands,Batsman,
unk_ka_bazil,KA Bazil,Cayman Islands,Batsman,
unk_p_heron,P Heron,Cayman Islands,Batsman,
unk_ronald_ebanks,Ronald Ebanks,Cayman Islands,Batsman,
unk_c_hauptfleisch,C Hauptfleisch,Cayman Islands,Batsman,
unk_or_willis,OR Willis,Cayman Islands,Batsman,
unk_j_buchanan,J Buchanan,Cayman Islands,Batsman,
unk_p_chin,P Chin,Cayman Islands,Batsman,
