id,name,country,primaryRole,image_url
unk_mtmmj_ave,MTMMJ Ave,Cook Islands,Batsman,
unk_a_parima,A Parima,Cook Islands,Batsman,
unk_t_parima,T Parima,Cook Islands,Batsman,
unk_c_dickson,C Dickson,Cook Islands,Batsman,
unk_l_denny,L Denny,Cook Islands,Batsman,
unk_hb_dickson,HB Dickson,Cook Islands,Batsman,
unk_oe_taylor,OE Taylor,Cook Islands,Batsman,
unk_t_ritawa,T Ritawa,Cook Islands,Batsman,
unk_jl_tutty,JL Tutty,Cook Islands,Batsman,
unk_mjm_kavana,MJM Kavana,Cook Islands,Batsman,
unk_b_vakatini,B Vakatini,Cook Islands,Batsman,
unk_aja_samuels,AJA Samuels,Cook Islands,Batsman,
unk_t_wuatai,T Wuatai,Cook Islands,Batsman,
unk_t_vanuarua,T Vanuarua,Cook Islands,Batsman,
unk_j_pickering,J Pickering,Cook Islands,Batsman,
