id,name,country,primaryRole,image_url
unk_a_magdalenic,A Magdalenic,Croatia,Batsman,
unk_saghar_manzoor,Saghar Manzoor,Croatia,Batsman,
unk_s_houghton,S Houghton,Croatia,Batsman,
unk_jm_vujinovich,JM Vujinovich,Croatia,Batsman,
unk_a_maheshwari,A Maheshwari,Croatia,Batsman,
unk_v_zanko,V Zanko,Croatia,Batsman,
unk_cp_turkich,CP Turkich,Croatia,Batsman,
unk_dj_turkich,DJ Turkich,Croatia,Batsman,
unk_d_marsic,D Marsic,Croatia,Batsman,
unk_b_jerkovic,B Jerkovic,Croatia,Batsman,
unk_a_razmilic,A Razmilic,Croatia,Batsman,
unk_a_beresford_peirse,A Beresford-Peirse,Croatia,Batsman,
unk_wk_bitis,WK Bitis,Croatia,Batsman,
unk_sohail_ahmad,Sohail Ahmad,Croatia,Batsman,
unk_p_bosnjak,P Bosnjak,Croatia,Batsman,
unk_zxm_vukusic,ZXM Vukusic,Croatia,Batsman,
unk_h_satheedevi,H Satheedevi,Croatia,Batsman,
unk_j_grzinic,J Grzinic,Croatia,Batsman,
unk_naseem_khan,Naseem Khan,Croatia,Batsman,
unk_v_pulibanti,V Pulibanti,Croatia,Batsman,
unk_jaikumar_thakur,Jaikumar Thakur,Croatia,Batsman,
unk_sd_valjalo,SD Valjalo,Croatia,Batsman,
unk_osb_tilley,OSB Tilley,Croatia,Batsman,
unk_j_danikula,J Danikula,Croatia,Batsman,
unk_a_shukla,A Shukla,Croatia,Batsman,
unk_a_awasthi,A Awasthi,Croatia,Batsman,
unk_d_svilicic,D Svilicic,Croatia,Batsman,
unk_sajid_khan,Sajid Khan,Croatia,Batsman,
