id,name,country,primaryRole,image_url
unk_s_austin,S Austin,Cyprus,Batsman,
unk_r_mazumder,R Mazumder,Cyprus,Batsman,
unk_cppm_sadun,CPPM Sadun,Cyprus,Batsman,
unk_mpgt_ketiyage,MPGT Ketiyage,Cyprus,Batsman,
unk_sn_pathirana,SN Pathirana,Cyprus,Batsman,
unk_nk_tiwari,NK Tiwari,Cyprus,Batsman,
unk_taranjit_singh,Taranjit Singh,Cyprus,Batsman,
unk_a_shahi,A Shahi,Cyprus,Batsman,
unk_aukds_kalugala,AUKDS Kalugala,Cyprus,Batsman,
unk_s_burdekin,S Burdekin,Cyprus,Batsman,
unk_waqar_ali,Waqar Ali,Cyprus,Batsman,
unk_r_siriwardena,R Siriwardena,Cyprus,Batsman,
unk_gurpratap_singh,Gurpratap Singh,Cyprus,Batsman,
unk_tejwinder_singh,Tejwinder Singh,Cyprus,Batsman,
unk_j_chialoufas,J Chialoufas,Cyprus,Batsman,
unk_aa_senn,AA Senn,Cyprus,Batsman,
unk_adam_senn,Adam Senn,Cyprus,Batsman,
unk_b_mahesh,B Mahesh,Cyprus,Batsman,
unk_s_tharanga,S Tharanga,Cyprus,Batsman,
unk_lovedeep_singh,Lovedeep Singh,Cyprus,Batsman,
unk_m_kyriacou,M Kyriacou,Cyprus,Batsman,
unk_r_brar,R Brar,Cyprus,Batsman,
unk_muhammad_shoaib_ahmed,Muhammad Shoaib Ahmed,Cyprus,Batsman,
