id,name,country,primaryRole,image_url
unk_s_davizi,S Davizi,Czech Republic,Batsman,
unk_naveed_ahmed,Naveed Ahmed,Czech Republic,Fast Bowler,
unk_sazib_bhuiyan,Sazib Bhuiyan,Czech Republic,Fast Bowler,
unk_s_wickramasekara,S Wickramasekara,Czech Republic,Batsman,
unk_a_ashokan,A Ashokan,Czech Republic,Batsman,
unk_ritik_tomar,Ritik Tomar,Czech Republic,Batsman,
unk_divyendra_singh,Divyendra Singh,Czech Republic,WK-Bat,
unk_dylan_steyn,Dylan Steyn,Czech Republic,Batsman,
unk_s_grover,S Grover,Czech Republic,Batsman,
unk_smk_waththage,SMK Waththage,Czech Republic,Batsman,
unk_abul_farhad,Abul Farhad,Czech Republic,Batsman,
unk_sj_patel,SJ Patel,Czech Republic,Batsman,
unk_s_chaudhary,S Chaudhary,Czech Republic,Batsman,
unk_s_ramakrishnan,S Ramakrishnan,Czech Republic,Batsman,
unk_s_sengupta,S Sengupta,Czech Republic,Batsman,
unk_ungb_thenannahelage,UNGB Thenannahelage,Czech Republic,WK-Bat,
unk_m_vandrasi,M Vandrasi,Czech Republic,Batsman,
unk_rm_magare,RM Magare,Czech Republic,Batsman,
unk_tk_lal,TK Lal,Czech Republic,Batsman,
unk_n_tyagi,N Tyagi,Czech Republic,Batsman,
unk_k_mendon,K Mendon,Czech Republic,Batsman,
unk_v_jagannivasan,V Jagannivasan,Czech Republic,Batsman,
unk_neeraj_mishra,Neeraj Mishra,Czech Republic,Batsman,
unk_d_ramani,D Ramani,Czech Republic,Batsman,
unk_hilal_ahmad,Hilal Ahmad,Czech Republic,Batsman,
unk_ali_waqar,Ali Waqar,Czech Republic,Batsman,
unk_v_marghashayam,V Marghashayam,Czech Republic,Batsman,
unk_rahat_ali,Rahat Ali,Czech Republic,Batsman,
unk_m_worndl,M Worndl,Czech Republic,Batsman,
