id,name,country,primaryRole,image_url
unk_sa_ahmad,SA Ahmad,Denmark,Fast Bowler,
unk_ham_shah,HAM Shah,Denmark,Batsman,
unk_t_bharaj,T Bharaj,Denmark,Batsman,
unk_surya_anand,Surya Anand,Denmark,Batsman,
unk_s_thanikaithasan,S Thanikaithasan,Denmark,Batsman,
unk_nd_laegsgaard,ND Laegsgaard,Denmark,Fast Bowler,
unk_delawar_khan,Delawar Khan,Denmark,Batsman,
unk_od_hald,OD Hald,Denmark,Batsman,
unk_abdul_hashim,Abdul Hashim,Denmark,WK-Bat,
unk_lucky_ali,Lucky Ali,Denmark,Batsman,
unk_musa_shaheen,Musa Shaheen,Denmark,Batsman,
unk_saud_munir,Saud Munir,Denmark,Batsman,
unk_abdullah_mahmood,Abdullah Mahmood,Denmark,Batsman,
unk_anique_uddin,Anique Uddin,Denmark,Batsman,
unk_rizwan_mahmood,Rizwan Mahmood,Denmark,WK-Bat,
unk_j_jojo,J Jojo,Denmark,Batsman,
unk_fa_klokker,FA Klokker,Denmark,Batsman,
unk_saran_aslam,Saran Aslam,Denmark,Batsman,
unk_e_karimi,E Karimi,Denmark,Batsman,
unk_bashir_shah,Bashir Shah,Denmark,Batsman,
unk_omar_hayat,Omar Hayat,Denmark,Batsman,
unk_toqeer_ahmad,Toqeer Ahmad,Denmark,Batsman,
unk_zishan_shah,Zishan Shah,Denmark,Batsman,
unk_zameer_khan,Zameer Khan,Denmark,Batsman,
unk_js_henriksen,JS Henriksen,Denmark,Batsman,
