id,name,country,primaryRole,image_url
eng_jos_buttler,Jos Buttler,England,WK-Bat,
eng_eoin_morgan,Eoin Morgan,England,Batsman,
eng_james_anderson,James Anderson,England,Fast Bowler,
eng_joe_root,Joe Root,England,Batsman,
eng_moeen_ali,Moeen Ali,England,Spin Bowler,
eng_stuart_broad,Stuart Broad,England,Fast Bowler,
eng_jonny_bairstow,Jonny Bairstow,England,WK-Bat,
eng_ben_stokes,Ben Stokes,England,All-Rounder,
eng_adil_rashid,Adil Rashid,England,Fast Bowler,
eng_kevin_pietersen,Kevin Pietersen,England,Batsman,
eng_ian_bell,Ian Bell,England,Batsman,
eng_paul_collingwood,Paul Collingwood,England,All-Rounder,
eng_alastair_cook,Alastair Cook,England,Batsman,
eng_chris_woakes,Chris Woakes,England,Fast Bowler,
eng_andrew_strauss,Andrew Strauss,England,Batsman,
eng_jason_roy,Jason Roy,England,Batsman,
eng_sam_curran,Sam Curran,England,Fast Bowler,
eng_ravi_bopara,Ravi Bopara,England,Fast Bowler,
eng_graeme_swann,Graeme Swann,England,Spin Bowler,
eng_chris_jordan,Chris Jordan,England,Fast Bowler,
eng_alex_hales,Alex Hales,England,Batsman,
eng_matt_prior,Matt Prior,England,WK-Bat,
eng_ls_livingstone,LS Livingstone,England,Fast Bowler,
eng_ma_wood,MA Wood,England,Fast Bowler,
eng_jc_archer,JC Archer,England,Fast Bowler,
eng_tt_bresnan,TT Bresnan,England,Fast Bowler,
eng_hc_brook,HC Brook,England,Batsman,
eng_a_flintoff,A Flintoff,England,All-Rounder,
eng_ijl_trott,IJL Trott,England,Batsman,
eng_st_finn,ST Finn,England,Fast Bowler,
eng_le_plunkett,LE Plunkett,England,Fast Bowler,
eng_dj_willey,DJ Willey,England,Fast Bowler,
eng_pd_salt,PD Salt,England,Batsman,
eng_dj_malan,DJ Malan,England,Batsman,
eng_lj_wright,LJ Wright,England,Fast Bowler,
eng_oa_shah,OA Shah,England,Batsman,
eng_mp_vaughan,MP Vaughan,England,Batsman,
eng_bm_duckett,BM Duckett,England,Batsman,
eng_sw_billings,SW Billings,England,WK-Bat,
eng_me_trescothick,ME Trescothick,England,Batsman,
eng_wb_rankin,WB Rankin,England,Fast Bowler,
eng_sj_harmison,SJ Harmison,England,Fast Bowler,
eng_wg_jacks,WG Jacks,England,Fast Bowler,
eng_ms_panesar,MS Panesar,England,Spin Bowler,
eng_z_crawley,Z Crawley,England,Batsman,
eng_tk_curran,TK Curran,England,Fast Bowler,
eng_rjw_topley,RJW Topley,England,Fast Bowler,
eng_c_kieswetter,C Kieswetter,England,WK-Bat,
eng_oj_pope,OJ Pope,England,Batsman,
eng_jc_tredwell,JC Tredwell,England,Fast Bowler,
eng_go_jones,GO Jones,England,WK-Bat,
eng_jw_dernbach,JW Dernbach,England,Fast Bowler,
eng_rj_sidebottom,RJ Sidebottom,England,Fast Bowler,
eng_sr_patel,SR Patel,England,Fast Bowler,
eng_ba_carse,BA Carse,England,Fast Bowler,
eng_af_giles,AF Giles,England,Fast Bowler,
eng_jg_bethell,JG Bethell,England,Fast Bowler,
eng_jm_vince,JM Vince,England,Batsman,
eng_ad_mascarenhas,AD Mascarenhas,England,Fast Bowler,
eng_gs_ballance,GS Ballance,England,Batsman,
eng_jl_denly,JL Denly,England,Batsman,
eng_jl_smith,JL Smith,England,Batsman,
eng_mj_hoggard,MJ Hoggard,England,Fast Bowler,
eng_d_gough,D Gough,England,Fast Bowler,
eng_mj_lumb,MJ Lumb,England,Batsman,
eng_mh_yardy,MH Yardy,England,Fast Bowler,
eng_la_dawson,LA Dawson,England,Fast Bowler,
eng_mj_leach,MJ Leach,England,Fast Bowler,
eng_vs_solanki,VS Solanki,England,Batsman,
eng_s_mahmood,S Mahmood,England,Fast Bowler,
eng_t_banton,T Banton,England,Batsman,
eng_si_mahmood,SI Mahmood,England,Fast Bowler,
eng_j_overton,J Overton,England,Fast Bowler,
eng_jwa_taylor,JWA Taylor,England,Batsman,
eng_rj_burns,RJ Burns,England,Batsman,
eng_cmw_read,CMW Read,England,Batsman,
eng_aap_atkinson,AAP Atkinson,England,Fast Bowler,
eng_jwm_dalrymple,JWM Dalrymple,England,Batsman,
eng_ct_tremlett,CT Tremlett,England,Fast Bowler,
eng_bt_foakes,BT Foakes,England,WK-Bat,
eng_rehan_ahmed,Rehan Ahmed,England,Fast Bowler,
eng_ts_mills,TS Mills,England,Batsman,
eng_jt_ball,JT Ball,England,Fast Bowler,
eng_id_blackwell,ID Blackwell,England,Batsman,
eng_mj_potts,MJ Potts,England,Fast Bowler,
eng_dp_sibley,DP Sibley,England,Batsman,
eng_n_hussain,N Hussain,England,Batsman,
eng_l_wood,L Wood,England,Fast Bowler,
eng_oe_robinson,OE Robinson,England,Fast Bowler,
eng_pa_nixon,PA Nixon,England,WK-Bat,
eng_hf_gurney,HF Gurney,England,Batsman,
eng_shoaib_bashir,Shoaib Bashir,England,Fast Bowler,
eng_r_clarke,R Clarke,England,Batsman,
eng_aj_stewart,AJ Stewart,England,WK-Bat,
eng_tr_ambrose,TR Ambrose,England,Batsman,
eng_kk_jennings,KK Jennings,England,Batsman,
eng_nrd_compton,NRD Compton,England,Batsman,
eng_op_stone,OP Stone,England,Fast Bowler,
eng_c_overton,C Overton,England,Fast Bowler,
eng_a_shahzad,A Shahzad,England,Fast Bowler,
eng_dm_bess,DM Bess,England,Fast Bowler,
eng_j_lewis,J Lewis,England,Fast Bowler,
eng_dw_lawrence,DW Lawrence,England,Batsman,
eng_a_mcgrath,A McGrath,England,Batsman,
eng_kabir_ali,Kabir Ali,England,Fast Bowler,
eng_g_onions,G Onions,England,Fast Bowler,
eng_ma_carberry,MA Carberry,England,Batsman,
eng_gj_batty,GJ Batty,England,Batsman,
eng_ar_caddick,AR Caddick,England,Fast Bowler,
eng_sm_davies,SM Davies,England,Batsman,
eng_nv_knight,NV Knight,England,Batsman,
eng_mw_parkinson,MW Parkinson,England,Batsman,
eng_l_gregory,L Gregory,England,Batsman,
eng_ag_wharf,AG Wharf,England,Batsman,
eng_md_stoneman,MD Stoneman,England,Batsman,
eng_sp_jones,SP Jones,England,Fast Bowler,
eng_ma_butcher,MA Butcher,England,Batsman,
eng_p_mustard,P Mustard,England,Batsman,
eng_a_khan,A Khan,England,Batsman,
eng_h_hameed,H Hameed,England,Batsman,
eng_gp_thorpe,GP Thorpe,England,Batsman,
eng_rwt_key,RWT Key,England,Batsman,
eng_az_lees,AZ Lees,England,Batsman,
eng_rl_johnson,RL Johnson,England,Batsman,
eng_rc_irani,RC Irani,England,Batsman,
eng_jc_tongue,JC Tongue,England,Fast Bowler,
eng_jm_cox,JM Cox,England,Batsman,
eng_rj_gleeson,RJ Gleeson,England,Batsman,
eng_dr_briggs,DR Briggs,England,Batsman,
eng_sd_robson,SD Robson,England,Batsman,
eng_a_lyth,A Lyth,England,Batsman,
eng_rj_kirtley,RJ Kirtley,England,Batsman,
eng_c_white,C White,England,Batsman,
eng_js_foster,JS Foster,England,WK-Bat,
eng_tw_hartley,TW Hartley,England,Fast Bowler,
eng_dr_mousley,DR Mousley,England,Batsman,
eng_mb_loye,MB Loye,England,Batsman,
eng_sd_parry,SD Parry,England,Batsman,
eng_jo_troughton,JO Troughton,England,Batsman,
eng_t_westley,T Westley,England,Batsman,
eng_ts_roland_jones,TS Roland-Jones,England,Batsman,
