id,name,country,primaryRole,image_url
unk_adil_butt,Adil Butt,Eswatini,Batsman,
unk_t_sandeep,T Sandeep,Eswatini,Batsman,
unk_h_rashid,H Rashid,Eswatini,Batsman,
unk_m_khojbariya,M Khojbariya,Eswatini,Batsman,
unk_r_sandeep,R Sandeep,Eswatini,Batsman,
unk_eric_phiri,Eric Phiri,Eswatini,Batsman,
unk_mohammed_alamgir,Mohammed Alamgir,Eswatini,Batsman,
unk_s_jele,S Jele,Eswatini,Batsman,
unk_d_polpitiya,D Polpitiya,Eswatini,Batsman,
unk_j_suleman,J Suleman,Eswatini,Batsman,
unk_h_jangariya,H Jangariya,Eswatini,Batsman,
