id,name,country,primaryRole,image_url
unk_m_beitaki,M Beitaki,Fiji,WK-Bat,
unk_pv_vuniwaqa,PV Vuniwaqa,Fiji,Batsman,
unk_ts_waqavakatoga,TS Waqavakatoga,Fiji,Batsman,
unk_dr_tawake,DR Tawake,Fiji,Batsman,
unk_a_sokovagone,A Sokovagone,Fiji,Batsman,
unk_p_dakainivanua,P Dakainivanua,Fiji,Batsman,
unk_p_kotoisuva,P Kotoisuva,Fiji,Batsman,
unk_jqk_moala,JQK Moala,Fiji,Batsman,
unk_s_tabuisulu,S Tabuisulu,Fiji,Batsman,
unk_n_acawei,N Acawei,Fiji,Batsman,
unk_ds_maraiwai,DS Maraiwai,Fiji,Batsman,
unk_j_baleicikoibia,J Baleicikoibia,Fiji,Batsman,
unk_p_cabebula,P Cabebula,Fiji,Batsman,
unk_sm_tupou,SM Tupou,Fiji,Batsman,
unk_s_ravoka,S Ravoka,Fiji,Batsman,
unk_j_cama,J Cama,Fiji,Batsman,
