id,name,country,primaryRole,image_url
unk_amjad_sher,Amjad Sher,Finland,Fast Bowler,
unk_vs_padhaal,VS Padhaal,Finland,Batsman,
unk_mb_tambe,MB Tambe,Finland,Fast Bowler,
unk_ak_mohan,AK Mohan,Finland,Batsman,
unk_raaz_mohammad,Raaz Mohammad,Finland,Batsman,
unk_jordan_o_brien,Jordan O'Brien,Finland,WK-Bat,
unk_pf_gallagher,PF Gallagher,Finland,Batsman,
unk_atif_rasheed,Atif Rasheed,Finland,Batsman,
unk_ng_collins,NG Collins,Finland,Batsman,
unk_jop_scamans,JOP Scamans,Finland,Batsman,
unk_nm_salonen,NM Salonen,Finland,Batsman,
unk_akhil_arjunan,Akhil Arjunan,Finland,Batsman,
unk_ghulam_abbas_butt,Ghulam Abbas Butt,Finland,Batsman,
unk_a_pusthay,A Pusthay,Finland,Batsman,
unk_faheem_nellancheri,Faheem Nellancheri,Finland,Batsman,
unk_mohammad_asaduzzaman,Mohammad Asaduzzaman,Finland,Batsman,
unk_ziaur_rehman,Ziaur Rehman,Finland,Batsman,
unk_e_kuchey,E Kuchey,Finland,Batsman,
unk_faraaz_mehti_abbas,Faraaz Mehti Abbas,Finland,Batsman,
unk_naveed_shahid,Naveed Shahid,Finland,Batsman,
unk_sapan_mehta,Sapan Mehta,Finland,Batsman,
unk_m_jenkinson,M Jenkinson,Finland,Batsman,
unk_madhawa_basnayaka,Madhawa Basnayaka,Finland,Batsman,
