id,name,country,primaryRole,image_url
unk_dawood_ahmadzai,Dawood Ahmadzai,France,Fast Bowler,
unk_l_canessane,L Canessane,France,Batsman,
unk_usman_khan,Usman Khan,France,Fast Bowler,
unk_noman_amjad,Noman Amjad,France,Batsman,
unk_ha_jackson,HA Jackson,France,WK-Bat,
unk_rahmatullah_mangal,Rahmatullah Mangal,France,Fast Bowler,
unk_g_mckeon,G Mckeon,France,Batsman,
unk_mukhtar_ghulami,Mukhtar Ghulami,France,Batsman,
unk_zain_ahmad,Zain Ahmad,France,Batsman,
unk_r_mangal,R Mangal,France,Batsman,
unk_c_roberts,C Roberts,France,Batsman,
unk_ibrahim_jabarkhel,Ibrahim Jabarkhel,France,Batsman,
unk_zaheer_zahiri,Zaheer Zahiri,France,Batsman,
unk_h_niaz,H Niaz,France,Batsman,
unk_kamran_ahmadzai,Kamran Ahmadzai,France,Batsman,
unk_s_stanikzay,S Stanikzay,France,Batsman,
unk_jubaid_ahamed,Jubaid Ahamed,France,Batsman,
unk_sm_warnakulasuriya,SM Warnakulasuriya,France,Batsman,
unk_abdul_rahman,Abdul Rahman,France,Batsman,
unk_mustafa_omer,Mustafa Omer,France,Batsman,
unk_s_santhirakumaran,S Santhirakumaran,France,Batsman,
unk_jamshid_nasiri,Jamshid Nasiri,France,Batsman,
