id,name,country,primaryRole,image_url
unk_ghulam_ahmadi,Ghulam Ahmadi,Germany,Fast Bowler,
unk_muslim_yar,Muslim Yar,Germany,Fast Bowler,
unk_v_ganesan,V Ganesan,Germany,Fast Bowler,
unk_h_singh,H Singh,Germany,Batsman,
unk_sve_bharathi,SVE Bharathi,Germany,Fast Bowler,
unk_sahir_naqash,Sahir Naqash,Germany,Fast Bowler,
unk_da_blignaut,DA Blignaut,Germany,Batsman,
unk_talha_khan,Talha Khan,Germany,Batsman,
unk_mj_richardson,MJ Richardson,Germany,WK-Bat,
unk_sachin_mandy,Sachin Mandy,Germany,WK-Bat,
unk_d_klein,D Klein,Germany,Fast Bowler,
unk_faisal_mubashir,Faisal Mubashir,Germany,Batsman,
unk_abdul_shakoor_rahimzei,Abdul-Shakoor Rahimzei,Germany,Batsman,
unk_vb_chikkannaiah,VB Chikkannaiah,Germany,Batsman,
unk_fayaz_khan,Fayaz Khan,Germany,Batsman,
unk_sajid_liaqat,Sajid Liaqat,Germany,Batsman,
unk_shahid_afridi,Shahid Afridi,Germany,Batsman,
unk_ahmed_wardak,Ahmed Wardak,Germany,Batsman,
unk_j_van_heerden,J van Heerden,Germany,Batsman,
unk_musaddiq_ahmed,Musaddiq Ahmed,Germany,Batsman,
unk_j_broad,J Broad,Germany,Batsman,
unk_h_srinivasan,H Srinivasan,Germany,WK-Bat,
unk_asad_mohammad,Asad Mohammad,Germany,Batsman,
unk_izatullah_dawlatzai,Izatullah Dawlatzai,Germany,Batsman,
unk_w_behr,W Behr,Germany,Batsman,
unk_amir_mangal,Amir Mangal,Germany,Batsman,
unk_zahid_zadran,Zahid Zadran,Germany,Batsman,
unk_hassan_khan,Hassan Khan,Germany,Batsman,
unk_v_jatinder_kumar,V Jatinder Kumar,Germany,Batsman,
unk_nooruddin_mujadady,Nooruddin Mujadady,Germany,Batsman,
unk_shoaib_khan,Shoaib Khan,Germany,Batsman,
