id,name,country,primaryRole,image_url
unk_ks_bagabena,KS Bagabena,Ghana,Batsman,
unk_r_bakum,R Bakum,Ghana,Batsman,
unk_g_bakiweyem,G Bakiweyem,Ghana,Fast Bowler,
unk_oh_agbomadzie,OH Agbomadzie,Ghana,Fast Bowler,
unk_sk_awiah,SK Awiah,Ghana,Batsman,
unk_tk_joseph,TK Joseph,Ghana,WK-Bat,
unk_jk_vifah,JK Vifah,Ghana,Batsman,
unk_dk_anefie,DK Anefie,Ghana,Batsman,
unk_devender_singh,Devender Singh,Ghana,Batsman,
unk_r_baaleri,R Baaleri,Ghana,Batsman,
unk_m_aboagye,M Aboagye,Ghana,Batsman,
unk_amoluk_singh,Amoluk Singh,Ghana,Batsman,
unk_km_awala,KM Awala,Ghana,Batsman,
unk_a_osei,A Osei,Ghana,Batsman,
unk_aziz_sualley,Aziz Sualley,Ghana,Batsman,
unk_syed_aqeel_israr,Syed Aqeel Israr,Ghana,Batsman,
unk_f_baleri,F Baleri,Ghana,Batsman,
unk_dna_ankrah,DNA Ankrah,Ghana,Batsman,
unk_mk_anafie,MK Anafie,Ghana,Batsman,
unk_v_ateak,V Ateak,Ghana,Batsman,
unk_l_nyarko,L Nyarko,Ghana,Batsman,
unk_p_yevugah,P Yevugah,Ghana,Batsman,
