id,name,country,primaryRole,image_url
unk_l_bruce,L Bruce,Gibraltar,Fast Bowler,
unk_ba_pai,BA Pai,Gibraltar,Fast Bowler,
unk_ja_fitzgerald,JA Fitzgerald,Gibraltar,Batsman,
unk_k_nestor,K Nestor,Gibraltar,Batsman,
unk_idm_latin,IDM Latin,Gibraltar,Batsman,
unk_s_bodha,S Bodha,Gibraltar,Fast Bowler,
unk_a_reyes,A Reyes,Gibraltar,Batsman,
unk_k_mirpuri,K Mirpuri,Gibraltar,Fast Bowler,
unk_kj_stagno,KJ Stagno,Gibraltar,Batsman,
unk_rj_hatchman,RJ Hatchman,Gibraltar,Batsman,
unk_pa_raikes,PA Raikes,Gibraltar,Batsman,
unk_j_marples,J Marples,Gibraltar,WK-Bat,
unk_j_horrocks,J Horrocks,Gibraltar,Batsman,
unk_jd_freyone,JD Freyone,Gibraltar,Batsman,
unk_m_gouws,M Gouws,Gibraltar,Batsman,
unk_m_whelan,M Whelan,Gibraltar,Batsman,
unk_c_pyle,C Pyle,Gibraltar,WK-Bat,
unk_n_advani,N Advani,Gibraltar,Batsman,
unk_p_hatchman,P Hatchman,Gibraltar,Batsman,
unk_cj_delany,CJ Delany,Gibraltar,Batsman,
unk_kj_ferrary,KJ Ferrary,Gibraltar,Batsman,
unk_m_raikes,M Raikes,Gibraltar,Batsman,
unk_e_packard,E Packard,Gibraltar,Batsman,
unk_la_collado,LA Collado,Gibraltar,Batsman,
unk_md_garratt,MD Garratt,Gibraltar,Batsman,
unk_r_cunningham,R Cunningham,Gibraltar,Batsman,
unk_j_wilson,J Wilson,Gibraltar,Batsman,
