id,name,country,primaryRole,image_url
unk_j_butler,J Butler,Guernsey,Batsman,
unk_mwr_stokes,MWR Stokes,Guernsey,Batsman,
unk_t_nightingale,T Nightingale,Guernsey,Batsman,
unk_lt_bichard,LT Bichard,Guernsey,Fast Bowler,
unk_lb_ferbrache,LB Ferbrache,Guernsey,Batsman,
unk_ida_damarell,IDA Damarell,Guernsey,WK-Bat,
unk_ob_nightingale,OB Nightingale,Guernsey,Batsman,
unk_a_martel,A Martel,Guernsey,Batsman,
unk_dr_hooper,DR Hooper,Guernsey,Batsman,
unk_m_dale_bradley,M Dale-Bradley,Guernsey,Batsman,
unk_acf_stokes,ACF Stokes,Guernsey,Batsman,
unk_w_peatfield,W Peatfield,Guernsey,Batsman,
unk_b_fitchet,B Fitchet,Guernsey,Batsman,
unk_c_forshaw,C Forshaw,Guernsey,Batsman,
unk_lc_le_tissier,LC Le Tissier,Guernsey,Batsman,
unk_harry_johnson,Harry Johnson,Guernsey,Batsman,
unk_lj_barker,LJ Barker,Guernsey,Batsman,
unk_oe_newey,OE Newey,Guernsey,Batsman,
unk_d_mullen,D Mullen,Guernsey,Batsman,
unk_a_bushell,A Bushell,Guernsey,Batsman,
