id,name,country,primaryRole,image_url
hk_nizakat_khan,Nizakat Khan,Hong Kong,Batsman,
hk_ehsan_khan,Ehsan Khan,Hong Kong,Fast Bowler,
hk_babar_hayat,Babar Hayat,Hong Kong,Batsman,
hk_aizaz_khan,Aizaz Khan,Hong Kong,Fast Bowler,
hk_anshuman_rath,Anshuman Rath,Hong Kong,Batsman,
hk_yasim_murtaza,Yasim Murtaza,Hong Kong,Fast Bowler,
hk_zeeshan_ali,Zeeshan Ali,Hong Kong,WK-Bat,
hk_kd_shah,KD Shah,Hong Kong,Fast Bowler,
hk_nasrulla_rana,Nasrulla Rana,Hong Kong,Fast Bowler,
hk_a_shukla,A Shukla,Hong Kong,Fast Bowler,
hk_waqas_barkat,Waqas Barkat,Hong Kong,Batsman,
hk_shahid_wasif,Shahid Wasif,Hong Kong,Batsman,
hk_ateeq_iqbal,Ateeq Iqbal,Hong Kong,Fast Bowler,
hk_nadeem_ahmed,Nadeem Ahmed,Hong Kong,Fast Bowler,
hk_ss_mckechnie,SS McKechnie,Hong Kong,WK-Bat,
hk_haroon_arshad,Haroon Arshad,Hong Kong,Fast Bowler,
hk_m_coetzee,M Coetzee,Hong Kong,Batsman,
hk_jj_atkinson,JJ Atkinson,Hong Kong,WK-Bat,
hk_tanwir_afzal,Tanwir Afzal,Hong Kong,Fast Bowler,
hk_mohammad_ghazanfar,Mohammad Ghazanfar,Hong Kong,Fast Bowler,
hk_anas_khan,Anas Khan,Hong Kong,Batsman,
hk_waqas_khan,Waqas Khan,Hong Kong,Batsman,
hk_c_carter,C Carter,Hong Kong,WK-Bat,
hk_haseeb_amjad,Haseeb Amjad,Hong Kong,Fast Bowler,
hk_ehsan_nawaz,Ehsan Nawaz,Hong Kong,Batsman,
hk_k_christie,K Christie,Hong Kong,Batsman,
hk_tanveer_ahmed,Tanveer Ahmed,Hong Kong,Batsman,
hk_aftab_hussain,Aftab Hussain,Hong Kong,Batsman,
hk_irfan_ahmed,Irfan Ahmed,Hong Kong,Batsman,
hk_simandeep_singh,Simandeep Singh,Hong Kong,Batsman,
hk_dhananjay_rao,Dhananjay Rao,Hong Kong,Batsman,
hk_kalhan_challu,Kalhan Challu,Hong Kong,Batsman,
hk_raag_kapur,Raag Kapur,Hong Kong,Batsman,
hk_s_mathur,S Mathur,Hong Kong,Batsman,
hk_a_mehmood,A Mehmood,Hong Kong,Batsman,
hk_ahsan_abbasi,Ahsan Abbasi,Hong Kong,Batsman,
hk_hamed_khan,Hamed Khan,Hong Kong,Batsman,
