id,name,country,primaryRole,image_url
unk_zahir_mohammed,Zahir Mohammed,Hungary,Batsman,
unk_sa_mohandas,SA Mohandas,Hungary,Fast Bowler,
unk_zeeshan_kukikhel,Zeeshan Kukikhel,Hungary,Batsman,
unk_abbas_ghani,Abbas Ghani,Hungary,Batsman,
unk_v_ravindran,V Ravindran,Hungary,Batsman,
unk_ali_farasat,Ali Farasat,Hungary,Batsman,
unk_abhijeet_ahuja,Abhijeet Ahuja,Hungary,Batsman,
unk_hv_mandhyan,HV Mandhyan,Hungary,Fast Bowler,
unk_a_kheterpal,A Kheterpal,Hungary,Batsman,
unk_khaibar_deldar,Khaibar Deldar,Hungary,Batsman,
unk_mp_ainsworth,MP Ainsworth,Hungary,Batsman,
unk_muhammad_usman,Muhammad Usman,Hungary,Batsman,
unk_ag_weligamage,AG Weligamage,Hungary,Batsman,
unk_abhishek_ahuja,Abhishek Ahuja,Hungary,WK-Bat,
unk_amal_jacob,Amal Jacob,Hungary,Batsman,
unk_muhammad_saqlain,Muhammad Saqlain,Hungary,Batsman,
unk_bp_adapaka,BP Adapaka,Hungary,Batsman,
unk_a_prashar,A Prashar,Hungary,Batsman,
unk_muhammad_burhan,Muhammad Burhan,Hungary,Batsman,
unk_ali_nawaz,Ali Nawaz,Hungary,Batsman,
unk_ali_yalmaz,Ali Yalmaz,Hungary,Batsman,
unk_s_ashwathnarayana,S Ashwathnarayana,Hungary,Batsman,
unk_sheikh_rasik,Sheikh Rasik,Hungary,Batsman,
unk_m_fontaine,M Fontaine,Hungary,Batsman,
unk_kamran_wahid,Kamran Wahid,Hungary,Batsman,
unk_tv_valivarthi,TV Valivarthi,Hungary,Batsman,
