id,name,country,primaryRole,image_url
ind_virat_kohli,Virat Kohli,India,Batsman,
ind_ms_dhoni,MS Dhoni,India,WK-Bat,
ind_rohit_sharma,Rohit Sharma,India,Batsman,
ind_ravindra_jadeja,Ravindra Jadeja,India,Spin Bowler,
ind_suresh_raina,Suresh Raina,India,Batsman,
ind_ravichandran_ashwin,Ravichandran Ashwin,India,Spin Bowler,
ind_shikhar_dhawan,Shikhar Dhawan,India,Batsman,
ind_yuvraj_singh,Yuvraj Singh,India,All-Rounder,
ind_dinesh_karthik,Dinesh Karthik,India,WK-Bat,
ind_bhuvneshwar_kumar,Bhuvneshwar Kumar,India,Fast Bowler,
ind_harbhajan_singh,Harbhajan Singh,India,Spin Bowler,
ind_ajinkya_rahane,Ajinkya Rahane,India,Batsman,
ind_hardik_pandya,Hardik Pandya,India,All-Rounder,
ind_gautam_gambhir,Gautam Gambhir,India,Batsman,
ind_kl_rahul,KL Rahul,India,WK-Bat,
ind_jasprit_bumrah,Jasprit Bumrah,India,Fast Bowler,
ind_virender_sehwag,Virender Sehwag,India,Batsman,
ind_axar_patel,Axar Patel,India,Spin Bowler,
ind_yuzvendra_chahal,Yuzvendra Chahal,India,Spin Bowler,
ind_ishant_sharma,Ishant Sharma,India,Fast Bowler,
ind_mohammed_shami,Mohammed Shami,India,Fast Bowler,
ind_sachin_tendulkar,Sachin Tendulkar,India,Batsman,
ind_zaheer_khan,Zaheer Khan,India,Fast Bowler,
ind_suryakumar_yadav,Suryakumar Yadav,India,Batsman,
ind_rahul_dravid,Rahul Dravid,India,WK-Bat,
ind_umesh_yadav,Umesh Yadav,India,Fast Bowler,
ind_kuldeep_yadav,Kuldeep Yadav,India,Spin Bowler,
ind_rishabh_pant,Rishabh Pant,India,WK-Bat,
ind_shreyas_iyer,Shreyas Iyer,India,Batsman,
ind_ambati_rayudu,Ambati Rayudu,India,Batsman,
ind_robin_uthappa,Robin Uthappa,India,WK-Bat,
ind_shubman_gill,Shubman Gill,India,Batsman,
