id,name,country,primaryRole,image_url
unk_dj_hawoe,DJ Hawoe,Indonesia,Fast Bowler,
unk_f_banunaek,F Banunaek,Indonesia,Fast Bowler,
unk_ahmad_ramdoni,Ahmad Ramdoni,Indonesia,WK-Bat,
unk_ikeg_artawan,IKEG Artawan,Indonesia,Fast Bowler,
unk_ik_gamantika,IK Gamantika,Indonesia,Fast Bowler,
unk_anjar_tadarus,Anjar Tadarus,Indonesia,Fast Bowler,
unk_kd_kesuma,KD Kesuma,Indonesia,Batsman,
unk_ga_priandana,GA Priandana,Indonesia,Fast Bowler,
unk_rm_koda,RM Koda,Indonesia,Fast Bowler,
unk_gd_arta,GD Arta,Indonesia,Fast Bowler,
unk_pr_surve,PR Surve,Indonesia,Batsman,
unk_aa_rahayu,AA Rahayu,Indonesia,Fast Bowler,
unk_kc_ramamoorthy,KC Ramamoorthy,Indonesia,Batsman,
unk_dk_shetty,DK Shetty,Indonesia,Batsman,
unk_dgapd_wiswi,DGAPD Wiswi,Indonesia,Batsman,
unk_gaurav_tiwari,Gaurav Tiwari,Indonesia,Batsman,
unk_j_dzulfikar,J Dzulfikar,Indonesia,Batsman,
unk_a_alexander,A Alexander,Indonesia,Batsman,
unk_vineet_shah,Vineet Shah,Indonesia,Batsman,
unk_s_kharvi,S Kharvi,Indonesia,Batsman,
unk_s_jegannathan,S Jegannathan,Indonesia,Batsman,
unk_ffj_heo,FFJ Heo,Indonesia,Batsman,
unk_d_nanda,D Nanda,Indonesia,Batsman,
unk_igtp_wiguna,IGTP Wiguna,Indonesia,Batsman,
unk_iw_budiarta,IW Budiarta,Indonesia,Batsman,
unk_ashish_gupta,Ashish Gupta,Indonesia,Batsman,
