id,name,country,primaryRole,image_url
ire_paul_stirling,Paul Stirling,Ireland,Batsman,
ire_george_dockrell,George Dockrell,Ireland,Fast Bowler,
ire_andrew_balbirnie,Andrew Balbirnie,Ireland,Batsman,
ire_kevin_o_brien,Kevin O'Brien,Ireland,All-Rounder,
ire_mr_adair,MR Adair,Ireland,Fast Bowler,
ire_ht_tector,HT Tector,Ireland,Batsman,
ire_l_tucker,L Tucker,Ireland,WK-Bat,
ire_wts_porterfield,WTS Porterfield,Ireland,Batsman,
ire_gc_wilson,GC Wilson,Ireland,WK-Bat,
ire_j_little,J Little,Ireland,Fast Bowler,
ire_ca_young,CA Young,Ireland,Fast Bowler,
ire_c_campher,C Campher,Ireland,Fast Bowler,
ire_ar_mcbrine,AR McBrine,Ireland,Fast Bowler,
ire_gj_delany,GJ Delany,Ireland,Fast Bowler,
ire_bj_mccarthy,BJ McCarthy,Ireland,Fast Bowler,
ire_nj_o_brien,NJ O'Brien,Ireland,WK-Bat,
ire_ec_joyce,EC Joyce,Ireland,Batsman,
ire_simi_singh,Simi Singh,Ireland,Fast Bowler,
ire_ar_cusack,AR Cusack,Ireland,Fast Bowler,
ire_jf_mooney,JF Mooney,Ireland,Fast Bowler,
ire_dt_johnston,DT Johnston,Ireland,Fast Bowler,
ire_tj_murtagh,TJ Murtagh,Ireland,Fast Bowler,
ire_sr_thompson,SR Thompson,Ireland,Fast Bowler,
ire_b_white,B White,Ireland,Fast Bowler,
ire_ar_white,AR White,Ireland,Batsman,
ire_gi_hume,GI Hume,Ireland,Fast Bowler,
ire_sc_getkate,SC Getkate,Ireland,Fast Bowler,
ire_mc_sorensen,MC Sorensen,Ireland,Fast Bowler,
ire_mj_humphreys,MJ Humphreys,Ireland,Fast Bowler,
ire_na_rock,NA Rock,Ireland,Batsman,
ire_sw_poynter,SW Poynter,Ireland,Batsman,
ire_ac_botha,AC Botha,Ireland,Fast Bowler,
ire_wk_mccallan,WK McCallan,Ireland,Fast Bowler,
ire_pkd_chase,PKD Chase,Ireland,Fast Bowler,
ire_ad_poynter,AD Poynter,Ireland,Batsman,
ire_gr_adair,GR Adair,Ireland,Batsman,
ire_st_doheny,ST Doheny,Ireland,Batsman,
ire_f_hand,F Hand,Ireland,Batsman,
ire_jp_bray,JP Bray,Ireland,Batsman,
ire_ja_mccollum,JA McCollum,Ireland,Batsman,
ire_d_langford_smith,D Langford-Smith,Ireland,Batsman,
ire_pc_connell,PC Connell,Ireland,Batsman,
ire_bf_calitz,BF Calitz,Ireland,Batsman,
ire_rm_west,RM West,Ireland,Batsman,
ire_ng_jones,NG Jones,Ireland,Batsman,
ire_jnk_shannon,JNK Shannon,Ireland,Batsman,
ire_j_anderson,J Anderson,Ireland,Batsman,
ire_dc_delany,DC Delany,Ireland,Batsman,
ire_te_kane,TE Kane,Ireland,Batsman,
ire_c_carmichael,C Carmichael,Ireland,Batsman,
ire_rd_mccann,RD McCann,Ireland,Batsman,
ire_gj_thompson,GJ Thompson,Ireland,Batsman,
ire_w_mcclintock,W McClintock,Ireland,Batsman,
ire_th_tector,TH Tector,Ireland,Batsman,
