id,name,country,primaryRole,image_url
unk_ja_burrows,JA Burrows,Isle of Man,Batsman,
unk_a_mcauley,A McAuley,Isle of Man,Batsman,
unk_ef_beard,EF Beard,Isle of Man,Batsman,
unk_c_hartmann,C Hartmann,Isle of Man,Batsman,
unk_mj_ansell,MJ Ansell,Isle of Man,Batsman,
unk_g_burrows,G Burrows,Isle of Man,Batsman,
unk_n_knights,N Knights,Isle of Man,Batsman,
unk_cj_langford,CJ Langford,Isle of Man,Batsman,
unk_k_cawte,K Cawte,Isle of Man,Batsman,
unk_d_jansen,D Jansen,Isle of Man,Batsman,
unk_oj_webster,OJ Webster,Isle of Man,Batsman,
unk_c_smith,C Smith,Isle of Man,Batsman,
unk_e_walker,E Walker,Isle of Man,Batsman,
unk_f_clarke,F Clarke,Isle of Man,Batsman,
unk_l_ward,L Ward,Isle of Man,Batsman,
unk_h_mcaleer,H McAleer,Isle of Man,Batsman,
