id,name,country,primaryRole,image_url
unk_manpreet_singh,Manpreet Singh,Italy,WK-Bat,
unk_gp_meade,GP Meade,Italy,Batsman,
unk_jaspreet_singh,Jaspreet Singh,Italy,Fast Bowler,
unk_m_campopiano,M Campopiano,Italy,Batsman,
unk_g_stewart,G Stewart,Italy,Batsman,
unk_hj_manenti,HJ Manenti,Italy,Fast Bowler,
unk_j_mosca,J Mosca,Italy,Batsman,
unk_gk_berg,GK Berg,Italy,Batsman,
unk_cjpf_kalugamage,CJPF Kalugamage,Italy,Batsman,
unk_aj_mosca,AJ Mosca,Italy,Batsman,
unk_bbjl_perera,BBJL Perera,Italy,Batsman,
unk_tj_draca,TJ Draca,Italy,Batsman,
unk_dkd_warnakulasuriya,DKD Warnakulasuriya,Italy,Batsman,
unk_bad_manenti,BAD Manenti,Italy,Batsman,
unk_wl_madsen,WL Madsen,Italy,Batsman,
unk_baljit_singh,Baljit Singh,Italy,Batsman,
unk_ali_hasan,Ali Hasan,Italy,Batsman,
unk_s_di_bartolomeo,S di Bartolomeo,Italy,Batsman,
unk_nl_smith,NL Smith,Italy,Batsman,
unk_j_grassi,J Grassi,Italy,Batsman,
unk_mgsm_fernando,MGSM Fernando,Italy,Batsman,
