id,name,country,primaryRole,image_url
unk_d_suzuki,D Suzuki,Japan,Fast Bowler,
unk_i_takahashi,I Takahashi,Japan,Fast Bowler,
unk_k_kadowaki_fleming,K Kadowaki-Fleming,Japan,Batsman,
unk_s_ravichandran,S Ravichandran,Japan,Fast Bowler,
unk_l_yamamoto_lake,L Yamamoto-Lake,Japan,Batsman,
unk_r_sakurano_thomas,R Sakurano-Thomas,Japan,Fast Bowler,
unk_m_taniyama,M Taniyama,Japan,Fast Bowler,
unk_a_patmore,A Patmore,Japan,WK-Bat,
unk_c_hinze,C Hinze,Japan,Fast Bowler,
unk_w_miyauchi,W Miyauchi,Japan,WK-Bat,
unk_kh_abe,KH Abe,Japan,Batsman,
unk_b_ito_davis,B Ito-Davis,Japan,Batsman,
unk_p_kumbhare,P Kumbhare,Japan,Batsman,
unk_k_kubota,K Kubota,Japan,Batsman,
unk_r_drake,R Drake,Japan,Batsman,
unk_k_kato_stafford,K Kato-Stafford,Japan,Batsman,
unk_abdul_samad_2,Abdul Samad,Japan,Batsman,
unk_s_sugaya_slater,S Sugaya-Slater,Japan,Batsman,
unk_abhishek_anand,Abhishek Anand,Japan,Batsman,
unk_s_navaratne,S Navaratne,Japan,Batsman,
unk_esam_rahman,Esam Rahman,Japan,Batsman,
unk_k_lake,K Lake,Japan,Batsman,
