id,name,country,primaryRole,image_url
jey_jw_jenner,JW Jenner,Jersey,Batsman,
jey_cw_perchard,CW Perchard,Jersey,Fast Bowler,
jey_b_ward,B Ward,Jersey,Fast Bowler,
jey_h_carlyon,H Carlyon,Jersey,Fast Bowler,
jey_j_sumerauer,J Sumerauer,Jersey,Fast Bowler,
jey_na_greenwood,NA Greenwood,Jersey,Batsman,
jey_dg_blampied,DG Blampied,Jersey,Fast Bowler,
jey_je_dunford,JE Dunford,Jersey,WK-Bat,
jey_zm_tribe,ZM Tribe,Jersey,Batsman,
jey_am_tribe,AM Tribe,Jersey,Batsman,
jey_ejb_miles,EJB Miles,Jersey,Fast Bowler,
jey_c_brennan,C Brennan,Jersey,Batsman,
jey_d_birrell,D Birrell,Jersey,Batsman,
jey_jad_lawrenson,JAD Lawrenson,Jersey,Batsman,
jey_bdh_stevens,BDH Stevens,Jersey,Batsman,
jey_nj_ferraby,NJ Ferraby,Jersey,Batsman,
jey_aw_hawkins_kay,AW Hawkins-Kay,Jersey,Batsman,
jey_pb_gouge,PB Gouge,Jersey,Batsman,
jey_c_bisson,C Bisson,Jersey,Batsman,
jey_rjg_palmer,RJG Palmer,Jersey,Batsman,
jey_j_kemp,J Kemp,Jersey,Batsman,
