id,name,country,primaryRole,image_url
ken_co_obuya,CO Obuya,Kenya,Fast Bowler,
ken_rr_patel,RR Patel,Kenya,Fast Bowler,
ken_so_ngoche,SO Ngoche,Kenya,Fast Bowler,
ken_ln_oluoch,LN Oluoch,Kenya,Fast Bowler,
ken_vraj_patel,Vraj Patel,Kenya,Fast Bowler,
ken_aa_obanda,AA Obanda,Kenya,Batsman,
ken_nn_odhiambo,NN Odhiambo,Kenya,Fast Bowler,
ken_nm_odhiambo,NM Odhiambo,Kenya,Batsman,
ken_s_singh,S Singh,Kenya,WK-Bat,
ken_ia_karim,IA Karim,Kenya,WK-Bat,
ken_sr_bhudia,SR Bhudia,Kenya,Batsman,
ken_rn_patel,RN Patel,Kenya,Batsman,
ken_ma_ouma,MA Ouma,Kenya,WK-Bat,
ken_pj_ongondo,PJ Ongondo,Kenya,Fast Bowler,
ken_e_otieno,E Otieno,Kenya,Fast Bowler,
ken_p_koech,P Koech,Kenya,Fast Bowler,
ken_ha_varaiya,HA Varaiya,Kenya,Fast Bowler,
ken_do_obuya,DO Obuya,Kenya,Batsman,
ken_t_mishra,T Mishra,Kenya,Batsman,
ken_jk_kamande,JK Kamande,Kenya,Batsman,
ken_eb_ringera,EB Ringera,Kenya,Fast Bowler,
ken_p_sharma,P Sharma,Kenya,Batsman,
ken_gm_muthui,GM Muthui,Kenya,Fast Bowler,
ken_dm_gondaria,DM Gondaria,Kenya,Batsman,
ken_js_kundi,JS Kundi,Kenya,Batsman,
ken_ko_otieno,KO Otieno,Kenya,WK-Bat,
ken_rg_aga,RG Aga,Kenya,Batsman,
ken_f_mutua,F Mutua,Kenya,Batsman,
ken_n_mugabe,N Mugabe,Kenya,Batsman,
ken_ao_suji,AO Suji,Kenya,Batsman,
ken_s_gill,S Gill,Kenya,Batsman,
ken_hs_modi,HS Modi,Kenya,Batsman,
ken_rd_shah,RD Shah,Kenya,Batsman,
ken_tanzeel_sheikh,Tanzeel Sheikh,Kenya,Batsman,
ken_vishil_patel,Vishil Patel,Kenya,Batsman,
ken_ln_onyango,LN Onyango,Kenya,Batsman,
ken_jo_ngoche,JO Ngoche,Kenya,Batsman,
ken_bj_patel,BJ Patel,Kenya,Batsman,
ken_ma_suji,MA Suji,Kenya,Batsman,
ken_mo_odumbe,MO Odumbe,Kenya,Batsman,
ken_gurdeep_singh,Gurdeep Singh,Kenya,Batsman,
ken_di_allan,DI Allan,Kenya,Batsman,
ken_sr_waters,SR Waters,Kenya,Batsman,
ken_e_ochieng,E Ochieng,Kenya,Batsman,
ken_p_kerai,P Kerai,Kenya,Batsman,
