id,name,country,primaryRole,image_url
unk_mnm_aslam,MNM Aslam,Kuwait,Fast Bowler,
unk_r_sandaruwan,R Sandaruwan,Kuwait,Batsman,
unk_meet_bhavsar,Meet Bhavsar,Kuwait,Batsman,
unk_bilal_tahir,Bilal Tahir,Kuwait,Batsman,
unk_usman_patel,Usman Patel,Kuwait,WK-Bat,
unk_yasin_patel,Yasin Patel,Kuwait,Fast Bowler,
unk_shiraz_khan,Shiraz Khan,Kuwait,Fast Bowler,
unk_mohamed_shafeeq,Mohamed Shafeeq,Kuwait,Fast Bowler,
unk_sayed_monib,Sayed Monib,Kuwait,Fast Bowler,
unk_cv_anto,CV Anto,Kuwait,Batsman,
unk_adnan_idrees,Adnan Idrees,Kuwait,Fast Bowler,
unk_muhammad_umar,Muhammad Umar,Kuwait,Batsman,
unk_nimish_lathief,Nimish Lathief,Kuwait,Batsman,
unk_ilyas_ahmed,Ilyas Ahmed,Kuwait,Batsman,
unk_shahrukh_quddus,Shahrukh Quddus,Kuwait,Batsman,
unk_muhammad_kashif,Muhammad Kashif,Kuwait,Batsman,
unk_parvindar_kumar,Parvindar Kumar,Kuwait,Batsman,
unk_ed_silva,ED Silva,Kuwait,Batsman,
unk_nawaf_ahmed,Nawaf Ahmed,Kuwait,Batsman,
unk_ali_zaheer,Ali Zaheer,Kuwait,Batsman,
unk_a_chenthamara,A Chenthamara,Kuwait,Batsman,
unk_mirza_ahmed,Mirza Ahmed,Kuwait,Batsman,
unk_mohammad_amin,Mohammad Amin,Kuwait,Batsman,
unk_nt_rajendran,NT Rajendran,Kuwait,Batsman,
