id,name,country,primaryRole,image_url
unk_c_tlali,C Tlali,Lesotho,Batsman,
unk_maaz_khan,Maaz Khan,Lesotho,Batsman,
unk_td_chaoana,TD Chaoana,Lesotho,Batsman,
unk_mv_matsau,MV Matsau,Lesotho,Batsman,
unk_lm_gabriel,LM Gabriel,Lesotho,Batsman,
unk_waseem_yaqoob,Waseem Yaqoob,Lesotho,Batsman,
unk_sameer_patel,Sameer Patel,Lesotho,Batsman,
unk_yym_jakda,YYM Jakda,Lesotho,Batsman,
unk_me_leoela,ME Leoela,Lesotho,Batsman,
unk_tg_thamae,TG Thamae,Lesotho,Batsman,
unk_v_jayant,V Jayant,Lesotho,Batsman,
unk_omar_hussain,Omar Hussain,Lesotho,Batsman,
