id,name,country,primaryRole,image_url
unk_v_vijh,V Vijh,Luxembourg,Fast Bowler,
unk_tc_barker,TC Barker,Luxembourg,Batsman,
unk_sks_gill,SKS Gill,Luxembourg,Batsman,
unk_j_mees,J Mees,Luxembourg,Batsman,
unk_j_barker,J Barker,Luxembourg,Batsman,
unk_wj_cope,WJ Cope,Luxembourg,Batsman,
unk_a_nanda,A Nanda,Luxembourg,Fast Bowler,
unk_anoop_orsu,Anoop Orsu,Luxembourg,Batsman,
unk_p_malav,P Malav,Luxembourg,Fast Bowler,
unk_m_dixit,M Dixit,Luxembourg,Batsman,
unk_a_halbhavi,A Halbhavi,Luxembourg,Batsman,
unk_g_venkateswaran,G Venkateswaran,Luxembourg,Batsman,
unk_a_dhingra,A Dhingra,Luxembourg,Batsman,
unk_milad_momend,Milad Momend,Luxembourg,Batsman,
unk_s_kushretha,S Kushretha,Luxembourg,Batsman,
unk_a_manepalli,A Manepalli,Luxembourg,Batsman,
unk_atif_kamal,Atif Kamal,Luxembourg,Batsman,
unk_m_cope,M Cope,Luxembourg,Batsman,
unk_e_jabarkhel,E Jabarkhel,Luxembourg,Batsman,
unk_t_whiteman,T Whiteman,Luxembourg,Batsman,
unk_mayank_nagayach,Mayank Nagayach,Luxembourg,Batsman,
unk_s_vats,S Vats,Luxembourg,Batsman,
unk_kamal_soukhiya,Kamal Soukhiya,Luxembourg,Batsman,
unk_sareer_shah,Sareer Shah,Luxembourg,Batsman,
