id,name,country,primaryRole,image_url
unk_sami_sohail,Sami Sohail,Malawi,Fast Bowler,
unk_a_limdawala,A Limdawala,Malawi,Batsman,
unk_d_kansonkho,D Kansonkho,Malawi,Batsman,
unk_sz_vayani,SZ Vayani,Malawi,Fast Bowler,
unk_g_kansonkho,G Kansonkho,Malawi,Batsman,
unk_m_choamba,M Choamba,Malawi,Batsman,
unk_ma_baig,MA Baig,Malawi,Batsman,
unk_b_balala,B Balala,Malawi,Batsman,
unk_p_zuze,P Zuze,Malawi,Batsman,
unk_sy_nihute,SY Nihute,Malawi,Batsman,
unk_kazim_somani,Kazim Somani,Malawi,Batsman,
unk_c_chete,C Chete,Malawi,Batsman,
unk_k_thuchila,K Thuchila,Malawi,Batsman,
unk_gm_ntambalika,GM Ntambalika,Malawi,Batsman,
unk_b_pondani,B Pondani,Malawi,Batsman,
unk_c_tchale,C Tchale,Malawi,Batsman,
unk_t_makaya,T Makaya,Malawi,Batsman,
unk_m_mwamadi,M Mwamadi,Malawi,Batsman,
unk_m_abdulla,M Abdulla,Malawi,Batsman,
unk_a_kansonkho,A Kansonkho,Malawi,Batsman,
unk_l_nakomo,L Nakomo,Malawi,Batsman,
