id,name,country,primaryRole,image_url
unk_syed_aziz,Syed Aziz,Malaysia,WK-Bat,
unk_virandeep_singh,Virandeep Singh,Malaysia,WK-Bat,
unk_s_muniandy,S Muniandy,Malaysia,Fast Bowler,
unk_ahmed_faiz,Ahmed Faiz,Malaysia,Batsman,
unk_pavandeep_singh,Pavandeep Singh,Malaysia,Fast Bowler,
unk_ainool_hafizs,Ainool Hafizs,Malaysia,WK-Bat,
unk_s_vijay_unni,S Vijay Unni,Malaysia,Fast Bowler,
unk_zubaidi_zulkifle,Zubaidi Zulkifle,Malaysia,Batsman,
unk_khizar_hayat,Khizar Hayat,Malaysia,Fast Bowler,
unk_muhammad_amir,Muhammad Amir,Malaysia,Fast Bowler,
unk_m_syahadat_ramli,M Syahadat Ramli,Malaysia,Batsman,
unk_fitri_sham,Fitri Sham,Malaysia,Fast Bowler,
unk_muhammad_wafiq,Muhammad Wafiq,Malaysia,Fast Bowler,
unk_rizwan_haider,Rizwan Haider,Malaysia,WK-Bat,
unk_ahmed_aqeel,Ahmed Aqeel,Malaysia,Batsman,
unk_syazrul_idrus,Syazrul Idrus,Malaysia,Fast Bowler,
unk_aslam_khan,Aslam Khan,Malaysia,Batsman,
unk_aminuddin_ramly,Aminuddin Ramly,Malaysia,Batsman,
unk_anwar_arudin,Anwar Arudin,Malaysia,Batsman,
unk_anwar_rahman,Anwar Rahman,Malaysia,Batsman,
unk_mohamed_arief,Mohamed Arief,Malaysia,Batsman,
unk_shafiq_sharif,Shafiq Sharif,Malaysia,WK-Bat,
unk_nazril_rahman,Nazril Rahman,Malaysia,Batsman,
unk_muhammad_haziq_aiman,Muhammad Haziq Aiman,Malaysia,WK-Bat,
unk_amir_khan,Amir Khan,Malaysia,Batsman,
unk_arif_ullah,Arif Ullah,Malaysia,Batsman,
unk_syed_rehmatullah,Syed Rehmatullah,Malaysia,Batsman,
unk_nck_liyanage,NCK Liyanage,Malaysia,Batsman,
