id,name,country,primaryRole,image_url
unk_ibrahim_hassan,Ibrahim Hassan,Maldives,Fast Bowler,
unk_umar_adam,Umar Adam,Maldives,Fast Bowler,
unk_ibrahim_rizan,Ibrahim Rizan,Maldives,Fast Bowler,
unk_mohamed_azzam,Mohamed Azzam,Maldives,WK-Bat,
unk_azyan_farhath,Azyan Farhath,Maldives,Batsman,
unk_mohamed_rishwan,Mohamed Rishwan,Maldives,Batsman,
unk_l_shafeeg,L Shafeeg,Maldives,Batsman,
unk_hassan_rasheed,Hassan Rasheed,Maldives,Batsman,
unk_ameel_mauroof,Ameel Mauroof,Maldives,Batsman,
unk_ibrahim_nashath,Ibrahim Nashath,Maldives,Batsman,
unk_ismail_ali,Ismail Ali,Maldives,Batsman,
unk_ahmed_hassan_2,Ahmed Hassan,Maldives,Batsman,
unk_ktk_rodrigo,KTK Rodrigo,Maldives,Batsman,
unk_shaof_hassan,Shaof Hassan,Maldives,Batsman,
unk_nazwan_ismail,Nazwan Ismail,Maldives,Batsman,
unk_mohamed_mahfooz,Mohamed Mahfooz,Maldives,Batsman,
unk_wj_malinda,WJ Malinda,Maldives,Batsman,
unk_shunan_ali,Shunan Ali,Maldives,Batsman,
unk_mohamed_ishmath,Mohamed Ishmath,Maldives,Batsman,
unk_gpk_wijesingha,GPK Wijesingha,Maldives,Batsman,
unk_mohamed_shiyam,Mohamed Shiyam,Maldives,Batsman,
