id,name,country,primaryRole,image_url
unk_vp_thamotharam,VP Thamotharam,Malta,Fast Bowler,
unk_washeem_abbas,Washeem Abbas,Malta,Fast Bowler,
unk_b_arora,B Arora,Malta,Fast Bowler,
unk_zeeshan_khan,Zeeshan Khan,Malta,Batsman,
unk_jaspal_singh,Jaspal Singh,Malta,Batsman,
unk_ssm_stanislaus,SSM Stanislaus,Malta,Batsman,
unk_amar_sharma,Amar Sharma,Malta,Fast Bowler,
unk_c_sudarsanan,C Sudarsanan,Malta,Batsman,
unk_b_george,B George,Malta,Batsman,
unk_e_mathew,E Mathew,Malta,Batsman,
unk_dr_patankar,DR Patankar,Malta,Batsman,
unk_fanyan_mughal,Fanyan Mughal,Malta,Fast Bowler,
unk_aaftab_alam_khan,Aaftab Alam Khan,Malta,Batsman,
unk_bilal_muhammad,Bilal Muhammad,Malta,Fast Bowler,
unk_n_khanna,N Khanna,Malta,Batsman,
unk_j_shaju,J Shaju,Malta,Fast Bowler,
unk_imran_ameer,Imran Ameer,Malta,Batsman,
unk_r_dianish,R Dianish,Malta,Batsman,
unk_d_marks,D Marks,Malta,Batsman,
unk_hs_gericke,HS Gericke,Malta,Batsman,
unk_jaswinder_singh,Jaswinder Singh,Malta,Batsman,
unk_waqas_ahmad,Waqas Ahmad,Malta,Batsman,
unk_g_thakur,G Thakur,Malta,Batsman,
unk_a_bishnoi,A Bishnoi,Malta,Batsman,
unk_p_pushparajan,P Pushparajan,Malta,Batsman,
unk_mehboob_ali,Mehboob Ali,Malta,Batsman,
unk_sb_patel,SB Patel,Malta,Batsman,
unk_g_chaturvedi,G Chaturvedi,Malta,Batsman,
unk_jaison_jerome,Jaison Jerome,Malta,Batsman,
unk_fazil_rahman,Fazil Rahman,Malta,Batsman,
unk_yash_singh,Yash Singh,Malta,Batsman,
unk_haroon_mughal,Haroon Mughal,Malta,Batsman,
unk_se_aquilina,SE Aquilina,Malta,Batsman,
