id,name,country,primaryRole,image_url
unk_shantanu_kaveri,Shantanu Kaveri,Mexico,Batsman,
unk_praveen_santhanakrishnan,Praveen Santhanakrishnan,Mexico,Batsman,
unk_pratik_singh_bais,Pratik Singh Bais,Mexico,Batsman,
unk_shashikant_laxman,Shashikant Laxman,Mexico,Batsman,
unk_luis_hermida,Luis Hermida,Mexico,Batsman,
unk_shoaib_rafiq,Shoaib Rafiq,Mexico,Batsman,
unk_r_ankad,R Ankad,Mexico,Batsman,
unk_r_poojary,R Poojary,Mexico,Batsman,
unk_pk_mohanarangam,PK Mohanarangam,Mexico,Batsman,
unk_sb_wagh,SB Wagh,Mexico,Batsman,
unk_dv_devjani_mutreja,DV Devjani Mutreja,Mexico,Batsman,
unk_puneet_arora,Puneet Arora,Mexico,Batsman,
unk_kaushal_kumar,Kaushal Kumar,Mexico,Batsman,
unk_seetharam_guruvayoorappan,Seetharam Guruvayoorappan,Mexico,Batsman,
unk_a_tripathi,A Tripathi,Mexico,Batsman,
unk_kb_patil,KB Patil,Mexico,Batsman,
unk_y_jasti,Y Jasti,Mexico,Batsman,
