id,name,country,primaryRole,image_url
unk_l_erdenebulgan,L Erdenebulgan,Mongolia,Batsman,
unk_o_lutbayar,O Lutbayar,Mongolia,Batsman,
unk_g_ganbold,G Ganbold,Mongolia,Batsman,
unk_m_vivekanandan,M Vivekanandan,Mongolia,Batsman,
unk_t_amarmend,T Amarmend,Mongolia,Batsman,
unk_n_naranbaatar,N Naranbaatar,Mongolia,Batsman,
unk_b_namsrai,B Namsrai,Mongolia,Batsman,
unk_z_shurentsetseg,Z Shurentsetseg,Mongolia,Batsman,
unk_t_tumursukh,T Tumursukh,Mongolia,Batsman,
unk_e_otgonbayar,E Otgonbayar,Mongolia,Batsman,
unk_s_gantulga,S Gantulga,Mongolia,Batsman,
unk_t_sumiya,T Sumiya,Mongolia,Batsman,
unk_h_upadhyay,H Upadhyay,Mongolia,Batsman,
