id,name,country,primaryRole,image_url
unk_jj_huo,JJ Huo,Mozambique,Batsman,
unk_aa_navicha,AA Navicha,Mozambique,Batsman,
unk_f_damiao_couana,F Damiao Couana,Mozambique,Batsman,
unk_fa_cossa,FA Cossa,Mozambique,Batsman,
unk_cb_roposo,CB Roposo,Mozambique,Batsman,
unk_ve_tembo,VE Tembo,Mozambique,Batsman,
unk_j_bulele,J Bulele,Mozambique,Batsman,
unk_l_emilio,L Emilio,Mozambique,WK-Bat,
unk_jm_joao,JM Joao,Mozambique,Batsman,
unk_li_salomone,LI Salomone,Mozambique,Batsman,
unk_la_simango,LA Simango,Mozambique,Batsman,
unk_dv_macome,DV Macome,Mozambique,Batsman,
unk_ze_matsinhe,ZE Matsinhe,Mozambique,Batsman,
unk_lf_mavume,LF Mavume,Mozambique,Batsman,
unk_mf_manjate,MF Manjate,Mozambique,Batsman,
unk_sdjj_dima,SDJJ Dima,Mozambique,Batsman,
unk_fe_carava,FE Carava,Mozambique,Batsman,
unk_ffz_nhaduate,FFZ Nhaduate,Mozambique,Batsman,
unk_ma_algi,MA Algi,Mozambique,Batsman,
