id,name,country,primaryRole,image_url
unk_kk_lin_thu,KK Lin Thu,Myanmar,Batsman,
unk_pyae_phyo_wai,Pyae Phyo Wai,Myanmar,Fast Bowler,
unk_thuya_aung,Thuya Aung,Myanmar,Batsman,
unk_khin_aye,Khin Aye,Myanmar,Batsman,
unk_h_lin_aung,H Lin Aung,Myanmar,Batsman,
unk_h_lin_oo,H Lin Oo,Myanmar,Batsman,
unk_nyeing_cham_soe,Nyeing Cham Soe,Myanmar,Batsman,
unk_swann_htet_ko_ko,Swann Htet Ko Ko,Myanmar,WK-Bat,
unk_myat_thu_aung,Myat Thu Aung,Myanmar,Batsman,
unk_paing_danu,Paing Danu,Myanmar,Batsman,
unk_nay_lin_htun,Nay Lin Htun,Myanmar,Batsman,
unk_y_naing_tun,Y Naing Tun,Myanmar,Batsman,
unk_aung_ko_ko,Aung Ko Ko,Myanmar,Batsman,
unk_kaung_htet_kyaw,Kaung Htet Kyaw,Myanmar,Batsman,
unk_sai_hla_htwe,Sai Hla Htwe,Myanmar,Batsman,
