id,name,country,primaryRole,image_url
nam_mg_erasmus,MG Erasmus,Namibia,All-Rounder,
nam_bm_scholtz,BM Scholtz,Namibia,Fast Bowler,
nam_ze_green,ZE Green,Namibia,WK-Bat,
nam_jn_frylinck,JN Frylinck,Namibia,Fast Bowler,
nam_jj_smit,JJ Smit,Namibia,Fast Bowler,
nam_jn_loftie_eaton,JN Loftie-Eaton,Namibia,Fast Bowler,
nam_r_trumpelmann,R Trumpelmann,Namibia,Fast Bowler,
nam_d_wiese,D Wiese,Namibia,Fast Bowler,
nam_t_lungameni,T Lungameni,Namibia,Fast Bowler,
nam_jp_kotze,JP Kotze,Namibia,WK-Bat,
nam_m_van_lingen,M van Lingen,Namibia,Batsman,
nam_b_shikongo,B Shikongo,Namibia,Fast Bowler,
nam_n_davin,N Davin,Namibia,Batsman,
nam_cg_williams,CG Williams,Namibia,Batsman,
nam_mb_kruger,MB Kruger,Namibia,Batsman,
nam_sj_baard,SJ Baard,Namibia,Batsman,
nam_hn_ya_france,HN Ya France,Namibia,Batsman,
nam_jt_brassell,JT Brassell,Namibia,Fast Bowler,
nam_l_louwrens,L Louwrens,Namibia,Batsman,
nam_k_birkenstock,K Birkenstock,Namibia,Batsman,
nam_do_leicher,DO Leicher,Namibia,Batsman,
nam_d_la_cock,D la Cock,Namibia,Batsman,
nam_ji_de_villiers,JI de Villiers,Namibia,Batsman,
nam_s_fouch,S Fouché,Namibia,Batsman,
nam_c_viljoen,C Viljoen,Namibia,Batsman,
nam_z_groenewald,Z Groenewald,Namibia,Batsman,
nam_jc_balt,JC Balt,Namibia,Batsman,
nam_h_klazinge,H Klazinge,Namibia,Batsman,
nam_l_steenkamp,L Steenkamp,Namibia,Batsman,
nam_md_du_preez,MD du Preez,Namibia,Batsman,
nam_pd_blignaut,PD Blignaut,Namibia,Batsman,
nam_aj_burger,AJ Burger,Namibia,Batsman,
nam_d_keulder,D Keulder,Namibia,Batsman,
nam_gb_murgatroyd,GB Murgatroyd,Namibia,Batsman,
nam_lj_burger,LJ Burger,Namibia,Batsman,
nam_db_kotze,DB Kotze,Namibia,Batsman,
nam_gj_van_rensburg,GJ van Rensburg,Namibia,Batsman,
nam_sps_shikongo,SPS Shikongo,Namibia,Batsman,
nam_sj_swanepoel,SJ Swanepoel,Namibia,Batsman,
nam_g_snyman,G Snyman,Namibia,Batsman,
nam_bl_kotze,BL Kotze,Namibia,Batsman,
nam_m_van_schoor,M van Schoor,Namibia,Batsman,
nam_rj_van_vuuren,RJ van Vuuren,Namibia,Batsman,
nam_a_busing_volschenk,A Busing-Volschenk,Namibia,Batsman,
