id,name,country,primaryRole,image_url
nep_dipendra_singh_airee,Dipendra Singh Airee,Nepal,All-Rounder,
nep_rk_paudel,RK Paudel,Nepal,Fast Bowler,
nep_karan_kc,Karan KC,Nepal,Fast Bowler,
nep_sompal_kami,Sompal Kami,Nepal,Fast Bowler,
nep_s_lamichhane,S Lamichhane,Nepal,Spin Bowler,
nep_k_bhurtel,K Bhurtel,Nepal,Fast Bowler,
nep_aasif_sheikh,Aasif Sheikh,Nepal,WK-Bat,
nep_aarif_sheikh,Aarif Sheikh,Nepal,Batsman,
nep_kushal_malla,Kushal Malla,Nepal,Fast Bowler,
nep_gulsan_jha,Gulsan Jha,Nepal,Fast Bowler,
nep_ln_rajbanshi,LN Rajbanshi,Nepal,Fast Bowler,
nep_g_malla,G Malla,Nepal,Batsman,
nep_a_bohara,A Bohara,Nepal,Fast Bowler,
nep_b_bhandari,B Bhandari,Nepal,WK-Bat,
nep_s_jora,S Jora,Nepal,Batsman,
nep_b_sharki,B Sharki,Nepal,Batsman,
nep_p_khadka,P Khadka,Nepal,Batsman,
nep_ak_sah,AK Sah,Nepal,Batsman,
nep_p_sarraf,P Sarraf,Nepal,Batsman,
nep_s_vesawkar,S Vesawkar,Nepal,Batsman,
nep_lokesh_bam,Lokesh Bam,Nepal,Batsman,
nep_b_yadav,B Yadav,Nepal,Batsman,
nep_s_bhari,S Bhari,Nepal,Fast Bowler,
nep_b_regmi,B Regmi,Nepal,Batsman,
nep_d_khanal,D Khanal,Nepal,Batsman,
nep_mohammad_aadil_alam,Mohammad Aadil Alam,Nepal,Batsman,
nep_nk_yadav,NK Yadav,Nepal,Fast Bowler,
nep_s_dhakal,S Dhakal,Nepal,Batsman,
nep_a_saud,A Saud,Nepal,WK-Bat,
nep_ks_airee,KS Airee,Nepal,Batsman,
nep_pratis_gc,Pratis GC,Nepal,Batsman,
nep_r_dhakal,R Dhakal,Nepal,Batsman,
nep_sp_khakurel,SP Khakurel,Nepal,WK-Bat,
nep_basir_ahamad,Basir Ahamad,Nepal,Batsman,
nep_ps_airee,PS Airee,Nepal,Batsman,
nep_jk_mukhiya,JK Mukhiya,Nepal,Batsman,
nep_sagar_pun,Sagar Pun,Nepal,Batsman,
nep_shahab_alam,Shahab Alam,Nepal,Batsman,
nep_sp_gauchan,SP Gauchan,Nepal,Batsman,
nep_bikram_sob,Bikram Sob,Nepal,Batsman,
nep_aakash_chand,Aakash Chand,Nepal,Batsman,
nep_rp_magar,RP Magar,Nepal,Batsman,
