id,name,country,primaryRole,image_url
ned_max_o_dowd,Max O'Dowd,Netherlands,Batsman,
ned_sa_edwards,SA Edwards,Netherlands,WK-Bat,
ned_re_van_der_merwe,RE van der Merwe,Netherlands,Fast Bowler,
ned_pa_van_meekeren,PA van Meekeren,Netherlands,Fast Bowler,
ned_bfw_de_leede,BFW de Leede,Netherlands,Fast Bowler,
ned_pm_seelaar,PM Seelaar,Netherlands,Fast Bowler,
ned_a_dutt,A Dutt,Netherlands,Fast Bowler,
ned_w_barresi,W Barresi,Netherlands,WK-Bat,
ned_vikramjit_singh,Vikramjit Singh,Netherlands,Batsman,
ned_at_nidamanuru,AT Nidamanuru,Netherlands,Batsman,
ned_lv_van_beek,LV van Beek,Netherlands,Fast Bowler,
ned_rn_ten_doeschate,RN ten Doeschate,Netherlands,Fast Bowler,
ned_bn_cooper,BN Cooper,Netherlands,Batsman,
ned_t_van_der_gugten,T van der Gugten,Netherlands,Fast Bowler,
ned_fj_klaassen,FJ Klaassen,Netherlands,Fast Bowler,
ned_vj_kingma,VJ Kingma,Netherlands,Fast Bowler,
ned_sj_myburgh,SJ Myburgh,Netherlands,Batsman,
ned_pw_borren,PW Borren,Netherlands,Batsman,
ned_tlw_cooper,TLW Cooper,Netherlands,Batsman,
ned_m_levitt,M Levitt,Netherlands,Batsman,
ned_cn_ackermann,CN Ackermann,Netherlands,Fast Bowler,
ned_nrj_croes,NRJ Croes,Netherlands,Batsman,
ned_mudassar_bukhari,Mudassar Bukhari,Netherlands,Fast Bowler,
ned_k_klein,K Klein,Netherlands,Fast Bowler,
ned_shariz_ahmad,Shariz Ahmad,Netherlands,Fast Bowler,
ned_tp_visee,TP Visee,Netherlands,Batsman,
ned_bd_glover,BD Glover,Netherlands,Fast Bowler,
ned_ahsan_malik,Ahsan Malik,Netherlands,Fast Bowler,
ned_mr_swart,MR Swart,Netherlands,Batsman,
ned_tjg_pringle,TJG Pringle,Netherlands,Batsman,
ned_sa_engelbrecht,SA Engelbrecht,Netherlands,Batsman,
ned_zb_lion_cachet,ZB Lion-Cachet,Netherlands,Batsman,
ned_dls_van_bunge,DLS van Bunge,Netherlands,Batsman,
ned_saqib_zulfiqar,Saqib Zulfiqar,Netherlands,Batsman,
ned_r_klein,R Klein,Netherlands,Batsman,
ned_b_zuiderent,B Zuiderent,Netherlands,Batsman,
ned_es_szwarczynski,ES Szwarczynski,Netherlands,Batsman,
ned_mjg_rippon,MJG Rippon,Netherlands,Fast Bowler,
ned_tn_de_grooth,TN de Grooth,Netherlands,Batsman,
ned_an_kervezee,AN Kervezee,Netherlands,Batsman,
ned_j_smits,J Smits,Netherlands,Batsman,
ned_s_snater,S Snater,Netherlands,Batsman,
ned_dt_doram,DT Doram,Netherlands,Batsman,
ned_musa_ahmed,Musa Ahmed,Netherlands,Batsman,
ned_c_floyd,C Floyd,Netherlands,Batsman,
ned_e_schiferli,E Schiferli,Netherlands,Batsman,
ned_aj_staal,AJ Staal,Netherlands,Batsman,
ned_tbm_de_leede,TBM de Leede,Netherlands,Batsman,
ned_lp_van_troost,LP van Troost,Netherlands,Batsman,
ned_prp_boissevain,PRP Boissevain,Netherlands,Batsman,
ned_sikander_zulfiqar,Sikander Zulfiqar,Netherlands,Batsman,
ned_dj_reekers,DJ Reekers,Netherlands,Batsman,
ned_tgj_gruijters,TGJ Gruijters,Netherlands,Batsman,
ned_adeel_raja,Adeel Raja,Netherlands,Batsman,
ned_hjc_mol,HJC Mol,Netherlands,Batsman,
ned_mbs_jonkman,MBS Jonkman,Netherlands,Batsman,
ned_af_buurman,AF Buurman,Netherlands,Batsman,
ned_bp_loots,BP Loots,Netherlands,Batsman,
ned_ts_braat,TS Braat,Netherlands,Batsman,
