id,name,country,primaryRole,image_url
nz_ross_taylor,Ross Taylor,New Zealand,Batsman,
nz_brendon_mccullum,Brendon McCullum,New Zealand,WK-Bat,
nz_kane_williamson,Kane Williamson,New Zealand,Batsman,
nz_tim_southee,Tim Southee,New Zealand,Fast Bowler,
nz_martin_guptill,Martin Guptill,New Zealand,Batsman,
nz_trent_boult,Trent Boult,New Zealand,Fast Bowler,
nz_mitchell_santner,Mitchell Santner,New Zealand,Spin Bowler,
nz_daniel_vettori,Daniel Vettori,New Zealand,Spin Bowler,
nz_tom_latham,Tom Latham,New Zealand,WK-Bat,
nz_ish_sodhi,Ish Sodhi,New Zealand,Spin Bowler,
nz_daryl_mitchell,Daryl Mitchell,New Zealand,Batsman,
nz_jimmy_neesham,Jimmy Neesham,New Zealand,All-Rounder,
nz_kyle_mills,Kyle Mills,New Zealand,Fast Bowler,
nz_jacob_oram,Jacob Oram,New Zealand,All-Rounder,
nz_scott_styris,Scott Styris,New Zealand,All-Rounder,
nz_devon_conway,Devon Conway,New Zealand,WK-Bat,
nz_matt_henry,Matt Henry,New Zealand,Fast Bowler,
nz_glenn_phillips,Glenn Phillips,New Zealand,Fast Bowler,
nz_lockie_ferguson,Lockie Ferguson,New Zealand,Fast Bowler,
nz_james_franklin,James Franklin,New Zealand,Fast Bowler,
nz_henry_nicholls,Henry Nicholls,New Zealand,Batsman,
nz_nathan_mccullum,Nathan McCullum,New Zealand,WK-Bat,
nz_c_de_grandhomme,C de Grandhomme,New Zealand,Fast Bowler,
nz_c_munro,C Munro,New Zealand,Batsman,
nz_cj_anderson,CJ Anderson,New Zealand,Fast Bowler,
nz_mj_mcclenaghan,MJ McClenaghan,New Zealand,Fast Bowler,
nz_ms_chapman,MS Chapman,New Zealand,Batsman,
nz_l_ronchi,L Ronchi,New Zealand,WK-Bat,
nz_r_ravindra,R Ravindra,New Zealand,Fast Bowler,
nz_af_milne,AF Milne,New Zealand,Fast Bowler,
nz_jd_ryder,JD Ryder,New Zealand,Batsman,
nz_bj_watling,BJ Watling,New Zealand,WK-Bat,
nz_sp_fleming,SP Fleming,New Zealand,Batsman,
nz_mg_bracewell,MG Bracewell,New Zealand,Fast Bowler,
nz_gd_elliott,GD Elliott,New Zealand,Fast Bowler,
nz_wa_young,WA Young,New Zealand,Batsman,
nz_se_bond,SE Bond,New Zealand,Fast Bowler,
nz_tl_seifert,TL Seifert,New Zealand,WK-Bat,
nz_ka_jamieson,KA Jamieson,New Zealand,Fast Bowler,
nz_pg_fulton,PG Fulton,New Zealand,Batsman,
nz_fh_allen,FH Allen,New Zealand,Batsman,
nz_cs_martin,CS Martin,New Zealand,Fast Bowler,
nz_js_patel,JS Patel,New Zealand,Fast Bowler,
nz_daj_bracewell,DAJ Bracewell,New Zealand,Fast Bowler,
nz_ja_duffy,JA Duffy,New Zealand,Fast Bowler,
nz_ta_blundell,TA Blundell,New Zealand,WK-Bat,
nz_n_wagner,N Wagner,New Zealand,Fast Bowler,
nz_l_vincent,L Vincent,New Zealand,Batsman,
nz_nj_astle,NJ Astle,New Zealand,Fast Bowler,
nz_cd_mcmillan,CD McMillan,New Zealand,Batsman,
nz_jm_how,JM How,New Zealand,Batsman,
nz_nt_broom,NT Broom,New Zealand,Batsman,
nz_hjh_marshall,HJH Marshall,New Zealand,Batsman,
nz_dr_tuffey,DR Tuffey,New Zealand,Fast Bowler,
nz_rj_nicol,RJ Nicol,New Zealand,Batsman,
nz_mr_gillespie,MR Gillespie,New Zealand,Fast Bowler,
nz_cl_cairns,CL Cairns,New Zealand,Fast Bowler,
nz_dr_flynn,DR Flynn,New Zealand,Batsman,
nz_bm_tickner,BM Tickner,New Zealand,Fast Bowler,
nz_w_o_rourke,W O'Rourke,New Zealand,Fast Bowler,
nz_gj_hopkins,GJ Hopkins,New Zealand,WK-Bat,
nz_dg_brownlie,DG Brownlie,New Zealand,Batsman,
nz_ms_sinclair,MS Sinclair,New Zealand,Batsman,
nz_ie_o_brien,IE O'Brien,New Zealand,Fast Bowler,
nz_ig_butler,IG Butler,New Zealand,Fast Bowler,
nz_zgf_foulkes,ZGF Foulkes,New Zealand,Fast Bowler,
nz_hk_bennett,HK Bennett,New Zealand,Fast Bowler,
nz_ay_patel,AY Patel,New Zealand,Fast Bowler,
nz_hd_rutherford,HD Rutherford,New Zealand,Batsman,
nz_bv_sears,BV Sears,New Zealand,Fast Bowler,
nz_tb_robinson,TB Robinson,New Zealand,Batsman,
nz_sc_kuggeleijn,SC Kuggeleijn,New Zealand,Fast Bowler,
nz_ja_raval,JA Raval,New Zealand,Batsman,
nz_mj_mason,MJ Mason,New Zealand,Fast Bowler,
nz_mj_hay,MJ Hay,New Zealand,Batsman,
nz_cz_harris,CZ Harris,New Zealand,Batsman,
nz_aj_mckay,AJ McKay,New Zealand,Fast Bowler,
nz_ar_adams,AR Adams,New Zealand,Fast Bowler,
nz_aj_redmond,AJ Redmond,New Zealand,Batsman,
nz_am_ellis,AM Ellis,New Zealand,Batsman,
nz_td_astle,TD Astle,New Zealand,Fast Bowler,
nz_ng_smith,NG Smith,New Zealand,Fast Bowler,
nz_ce_mcconchie,CE McConchie,New Zealand,Batsman,
nz_cj_bowes,CJ Bowes,New Zealand,Batsman,
nz_ap_devcich,AP Devcich,New Zealand,Batsman,
nz_cd_cumming,CD Cumming,New Zealand,Batsman,
nz_tg_mcintosh,TG McIntosh,New Zealand,Batsman,
nz_md_craig,MD Craig,New Zealand,Fast Bowler,
nz_bg_lister,BG Lister,New Zealand,Batsman,
nz_pd_mcglashan,PD McGlashan,New Zealand,Batsman,
nz_rm_hira,RM Hira,New Zealand,Batsman,
nz_jah_marshall,JAH Marshall,New Zealand,Batsman,
nz_pj_ingram,PJ Ingram,New Zealand,Batsman,
nz_hb_shipley,HB Shipley,New Zealand,Batsman,
nz_gh_worker,GH Worker,New Zealand,Batsman,
nz_bm_wheeler,BM Wheeler,New Zealand,Batsman,
nz_ja_clarkson,JA Clarkson,New Zealand,Batsman,
nz_sha_rance,SHA Rance,New Zealand,Batsman,
nz_d_cleaver,D Cleaver,New Zealand,Batsman,
nz_cfk_van_wyk,CFK van Wyk,New Zealand,Batsman,
nz_mhw_papps,MHW Papps,New Zealand,Batsman,
nz_pa_hitchcock,PA Hitchcock,New Zealand,Batsman,
nz_lj_woodcock,LJ Woodcock,New Zealand,Batsman,
nz_cj_nevin,CJ Nevin,New Zealand,Batsman,
nz_bj_arnel,BJ Arnel,New Zealand,Batsman,
nz_wer_somerville,WER Somerville,New Zealand,Batsman,
nz_mh_richardson,MH Richardson,New Zealand,Batsman,
nz_d_foxcroft,D Foxcroft,New Zealand,Batsman,
nz_md_bell,MD Bell,New Zealand,Batsman,
nz_ra_young,RA Young,New Zealand,Batsman,
nz_bp_martin,BP Martin,New Zealand,Batsman,
nz_ts_nethula,TS Nethula,New Zealand,Batsman,
nz_md_bates,MD Bates,New Zealand,Batsman,
nz_ak_kitchen,AK Kitchen,New Zealand,Batsman,
nz_bj_jacobs,BJ Jacobs,New Zealand,Batsman,
