id,name,country,primaryRole,image_url
unk_io_okpe,IO Okpe,Nigeria,Fast Bowler,
unk_sa_okpe,SA Okpe,Nigeria,Fast Bowler,
unk_sulaimon_runsewe,Sulaimon Runsewe,Nigeria,WK-Bat,
unk_p_useni,P Useni,Nigeria,Fast Bowler,
unk_p_aho,P Aho,Nigeria,Fast Bowler,
unk_i_danladi,I Danladi,Nigeria,Fast Bowler,
unk_r_abdulkareem,R Abdulkareem,Nigeria,Fast Bowler,
unk_vd_adewoye,VD Adewoye,Nigeria,Batsman,
unk_mohameed_taiwo,Mohameed Taiwo,Nigeria,Fast Bowler,
unk_jo_adedeji,JO Adedeji,Nigeria,Batsman,
unk_d_ajekun,D Ajekun,Nigeria,Batsman,
unk_selim_salau,Selim Salau,Nigeria,Batsman,
unk_aa_onikoyi,AA Onikoyi,Nigeria,Batsman,
unk_c_udekwe,C Udekwe,Nigeria,Fast Bowler,
unk_joshua_asia,Joshua Asia,Nigeria,Fast Bowler,
unk_o_olaleye,O Olaleye,Nigeria,Batsman,
unk_cn_onwuzulike,CN Onwuzulike,Nigeria,Batsman,
unk_a_shreshta,A Shreshta,Nigeria,Batsman,
unk_aj_ayannaike,AJ Ayannaike,Nigeria,Batsman,
unk_ae_isesele,AE Isesele,Nigeria,Batsman,
unk_d_gim,D Gim,Nigeria,Batsman,
unk_cm_akachukwu,CM Akachukwu,Nigeria,Batsman,
unk_i_uboh,I Uboh,Nigeria,Batsman,
unk_ra_abolarin,RA Abolarin,Nigeria,Batsman,
unk_s_mba,S Mba,Nigeria,Batsman,
unk_o_isiyaku,O Isiyaku,Nigeria,Batsman,
unk_am_oyede,AM Oyede,Nigeria,Batsman,
unk_e_ndubudem,E Ndubudem,Nigeria,Batsman,
unk_ali_rahmon,Ali Rahmon,Nigeria,Batsman,
unk_s_chilemanya,S Chilemanya,Nigeria,Batsman,
unk_aa_jimoh,AA Jimoh,Nigeria,Batsman,
unk_k_boniface,K Boniface,Nigeria,Batsman,
unk_mustapha_yusuf,Mustapha Yusuf,Nigeria,Batsman,
unk_o_isesele,O Isesele,Nigeria,Batsman,
