id,name,country,primaryRole,image_url
unk_vinay_ravi,Vinay Ravi,Norway,Fast Bowler,
unk_khizer_ahmed,Khizer Ahmed,Norway,WK-Bat,
unk_d_abeyrathna,D Abeyrathna,Norway,Batsman,
unk_sher_sahak,Sher Sahak,Norway,Batsman,
unk_qamar_mushtaque,Qamar Mushtaque,Norway,Fast Bowler,
unk_raza_iqbal,Raza Iqbal,Norway,Fast Bowler,
unk_walid_ghauri,Walid Ghauri,Norway,Batsman,
unk_ahmadullah_shinwari,Ahmadullah Shinwari,Norway,Fast Bowler,
unk_aj_parmar,AJ Parmar,Norway,Fast Bowler,
unk_wahidullah_sahak,Wahidullah Sahak,Norway,Batsman,
unk_ali_saleem,Ali Saleem,Norway,Batsman,
unk_ibrahim_rahimi,Ibrahim Rahimi,Norway,Batsman,
unk_faisal_raza,Faisal Raza,Norway,Batsman,
unk_usman_arif,Usman Arif,Norway,Batsman,
unk_m_shahbaz_butt,M Shahbaz Butt,Norway,Batsman,
unk_javed_maroofkhail,Javed Maroofkhail,Norway,Batsman,
unk_junaid_mehmood,Junaid Mehmood,Norway,Batsman,
unk_e_ul_haq,E Ul Haq,Norway,Batsman,
unk_tafseer_ali,Tafseer Ali,Norway,Batsman,
unk_s_waqas_ahmed,S Waqas Ahmed,Norway,Batsman,
unk_p_bhart,P Bhart,Norway,Batsman,
unk_bilal_safdar,Bilal Safdar,Norway,Batsman,
unk_vishal_sharma,Vishal Sharma,Norway,Batsman,
unk_ansar_iqbal,Ansar Iqbal,Norway,Batsman,
unk_chaudhary_akram,Chaudhary Akram,Norway,Batsman,
unk_abdullah_sheikh,Abdullah Sheikh,Norway,Batsman,
unk_mandeep_singh,Mandeep Singh,Norway,Batsman,
unk_mansoor_shah,Mansoor Shah,Norway,Batsman,
