id,name,country,primaryRole,image_url
oma_jatinder_singh,Jatinder Singh,Oman,Batsman,
oma_bilal_khan,Bilal Khan,Oman,Fast Bowler,
oma_zeeshan_maqsood,Zeeshan Maqsood,Oman,Fast Bowler,
oma_mohammad_nadeem,Mohammad Nadeem,Oman,Fast Bowler,
oma_kaleemullah,Kaleemullah,Oman,Fast Bowler,
oma_aqib_ilyas,Aqib Ilyas,Oman,Fast Bowler,
oma_kh_prajapati,KH Prajapati,Oman,Batsman,
oma_ayan_khan,Ayan Khan,Oman,Fast Bowler,
oma_naseem_khushi,Naseem Khushi,Oman,WK-Bat,
oma_fayyaz_butt,Fayyaz Butt,Oman,Fast Bowler,
oma_khawar_ali,Khawar Ali,Oman,Fast Bowler,
oma_sandeep_goud,Sandeep Goud,Oman,Batsman,
oma_aamir_kaleem,Aamir Kaleem,Oman,Fast Bowler,
oma_shakeel_ahmed,Shakeel Ahmed,Oman,Fast Bowler,
oma_shoaib_khan,Shoaib Khan,Oman,Batsman,
oma_mehran_khan,Mehran Khan,Oman,Fast Bowler,
oma_suraj_kumar,Suraj Kumar,Oman,Batsman,
oma_hammad_mirza,Hammad Mirza,Oman,WK-Bat,
oma_s_shrivastava,S Shrivastava,Oman,Fast Bowler,
oma_jay_odedra,Jay Odedra,Oman,Fast Bowler,
oma_sufyan_mehmood,Sufyan Mehmood,Oman,Fast Bowler,
oma_rafiullah,Rafiullah,Oman,Batsman,
oma_ps_athavale,PS Athavale,Oman,WK-Bat,
oma_v_shukla,V Shukla,Oman,WK-Bat,
oma_khalid_kail,Khalid Kail,Oman,Batsman,
oma_khurram_nawaz,Khurram Nawaz,Oman,Batsman,
oma_wasim_ali,Wasim Ali,Oman,Batsman,
oma_av_lalcheta,AV Lalcheta,Oman,Batsman,
oma_j_ramanandi,J Ramanandi,Oman,Batsman,
oma_ar_odedara,AR Odedara,Oman,Batsman,
oma_ar_bisht,AR Bisht,Oman,Batsman,
oma_sultan_ahmed,Sultan Ahmed,Oman,WK-Bat,
oma_shah_faisal,Shah Faisal,Oman,Batsman,
oma_nestor_dhamba,Nestor Dhamba,Oman,Batsman,
oma_muzahir_raza,Muzahir Raza,Oman,Batsman,
oma_hassnain_shah,Hassnain Shah,Oman,Batsman,
oma_k_sonavale,K Sonavale,Oman,Batsman,
oma_adnan_ilyas,Adnan Ilyas,Oman,Batsman,
oma_nadeem_khan,Nadeem Khan,Oman,Batsman,
oma_mujibur_ali,Mujibur Ali,Oman,Batsman,
oma_amir_ali,Amir Ali,Oman,Batsman,
oma_b_siddharth,B Siddharth,Oman,Batsman,
oma_m_ansari,M Ansari,Oman,Batsman,
oma_zikria_islam,Zikria Islam,Oman,Batsman,
