id,name,country,primaryRole,image_url
pak_mohammad_hafeez,Mohammad Hafeez,Pakistan,All-Rounder,
pak_shoaib_malik,Shoaib Malik,Pakistan,All-Rounder,
pak_babar_azam,Babar Azam,Pakistan,Batsman,
pak_shahid_afridi,Shahid Afridi,Pakistan,Spin Bowler,
pak_younis_khan,Younis Khan,Pakistan,Batsman,
pak_misbah_ul_haq,Misbah-ul-Haq,Pakistan,Batsman,
pak_mohammad_rizwan,Mohammad Rizwan,Pakistan,WK-Bat,
pak_kamran_akmal,Kamran Akmal,Pakistan,WK-Bat,
pak_sarfraz_ahmed,Sarfraz Ahmed,Pakistan,WK-Bat,
pak_umar_gul,Umar Gul,Pakistan,Fast Bowler,
pak_umar_akmal,Umar Akmal,Pakistan,WK-Bat,
pak_saeed_ajmal,Saeed Ajmal,Pakistan,Spin Bowler,
pak_fakhar_zaman,Fakhar Zaman,Pakistan,Batsman,
pak_shaheen_shah_afridi,Shaheen Shah Afridi,Pakistan,Fast Bowler,
pak_shadab_khan,Shadab Khan,Pakistan,Spin Bowler,
pak_mohammad_yousuf,Mohammad Yousuf,Pakistan,Batsman,
pak_mohammad_amir,Mohammad Amir,Pakistan,Fast Bowler,
pak_abdul_razzaq,Abdul Razzaq,Pakistan,All-Rounder,
pak_wahab_riaz,Wahab Riaz,Pakistan,Fast Bowler,
pak_ahmed_shehzad,Ahmed Shehzad,Pakistan,Batsman,
pak_azhar_ali,Azhar Ali,Pakistan,Batsman,
pak_hasan_ali,Hasan Ali,Pakistan,Fast Bowler,
pak_asad_shafiq,Asad Shafiq,Pakistan,Batsman,
pak_haris_rauf,Haris Rauf,Pakistan,Fast Bowler,
pak_faheem_ashraf,Faheem Ashraf,Pakistan,Fast Bowler,
pak_mohammad_nawaz,Mohammad Nawaz,Pakistan,Fast Bowler,
pak_sohail_tanvir,Sohail Tanvir,Pakistan,Fast Bowler,
pak_imad_wasim,Imad Wasim,Pakistan,Fast Bowler,
pak_salman_butt,Salman Butt,Pakistan,Batsman,
pak_asif_ali,Asif Ali,Pakistan,Batsman,
pak_agha_salman,Agha Salman,Pakistan,Fast Bowler,
pak_junaid_khan,Junaid Khan,Pakistan,Fast Bowler,
pak_shoaib_akhtar,Shoaib Akhtar,Pakistan,Fast Bowler,
pak_imam_ul_haq,Imam-ul-Haq,Pakistan,Batsman,
pak_iftikhar_ahmed,Iftikhar Ahmed,Pakistan,Fast Bowler,
pak_inzamam_ul_haq,Inzamam-ul-Haq,Pakistan,Batsman,
pak_mohammad_irfan,Mohammad Irfan,Pakistan,Fast Bowler,
pak_naseem_shah,Naseem Shah,Pakistan,Fast Bowler,
pak_saim_ayub,Saim Ayub,Pakistan,Fast Bowler,
pak_mohammad_sami,Mohammad Sami,Pakistan,Fast Bowler,
pak_fawad_alam,Fawad Alam,Pakistan,Batsman,
pak_imran_farhat,Imran Farhat,Pakistan,Batsman,
pak_yasir_shah,Yasir Shah,Pakistan,Spin Bowler,
pak_mohammad_asif,Mohammad Asif,Pakistan,Fast Bowler,
pak_haris_sohail,Haris Sohail,Pakistan,Fast Bowler,
pak_shan_masood,Shan Masood,Pakistan,Batsman,
pak_nasir_jamshed,Nasir Jamshed,Pakistan,Batsman,
pak_naved_ul_hasan,Naved-ul-Hasan,Pakistan,Fast Bowler,
pak_iftikhar_anjum,Iftikhar Anjum,Pakistan,Fast Bowler,
pak_abdur_rehman,Abdur Rehman,Pakistan,Fast Bowler,
pak_mohammad_wasim,Mohammad Wasim,Pakistan,Fast Bowler,
pak_abrar_ahmed,Abrar Ahmed,Pakistan,Spin Bowler,
pak_abdullah_shafique,Abdullah Shafique,Pakistan,Batsman,
pak_sohaib_maqsood,Sohaib Maqsood,Pakistan,Batsman,
pak_khushdil_shah,Khushdil Shah,Pakistan,Batsman,
pak_yasir_hameed,Yasir Hameed,Pakistan,Batsman,
pak_danish_kaneria,Danish Kaneria,Pakistan,Spin Bowler,
pak_sharjeel_khan,Sharjeel Khan,Pakistan,Batsman,
pak_imran_nazir,Imran Nazir,Pakistan,Batsman,
pak_mohammad_hasnain,Mohammad Hasnain,Pakistan,Fast Bowler,
pak_saud_shakeel,Saud Shakeel,Pakistan,Batsman,
pak_sahibzada_farhan,Sahibzada Farhan,Pakistan,Batsman,
pak_taufeeq_umar,Taufeeq Umar,Pakistan,Batsman,
pak_haider_ali,Haider Ali,Pakistan,Batsman,
pak_anwar_ali,Anwar Ali,Pakistan,Fast Bowler,
pak_rahat_ali,Rahat Ali,Pakistan,Fast Bowler,
pak_mohammad_haris,Mohammad Haris,Pakistan,WK-Bat,
pak_usman_khan,Usman Khan,Pakistan,WK-Bat,
pak_azhar_mahmood,Azhar Mahmood,Pakistan,Fast Bowler,
pak_umar_amin,Umar Amin,Pakistan,Batsman,
pak_usman_shinwari,Usman Shinwari,Pakistan,Fast Bowler,
pak_hussain_talat,Hussain Talat,Pakistan,Batsman,
pak_mohammad_abbas,Mohammad Abbas,Pakistan,Fast Bowler,
pak_sohail_khan,Sohail Khan,Pakistan,Fast Bowler,
pak_adnan_akmal,Adnan Akmal,Pakistan,WK-Bat,
pak_aizaz_cheema,Aizaz Cheema,Pakistan,Fast Bowler,
