id,name,country,primaryRole,image_url
unk_a_natubhai_ahir,A Natubhai Ahir,Panama,WK-Bat,
unk_irfan_hafejee,Irfan Hafejee,Panama,Batsman,
unk_mahmud_jasat,Mahmud Jasat,Panama,Batsman,
unk_yusuf_ebrahim,Yusuf Ebrahim,Panama,Batsman,
unk_rdb_ahir,RDB Ahir,Panama,Batsman,
unk_m_sohel_patel,M Sohel Patel,Panama,Batsman,
unk_breeze_ahir,Breeze Ahir,Panama,Batsman,
unk_kb_ahir,KB Ahir,Panama,Batsman,
unk_n_ahir,N Ahir,Panama,Batsman,
unk_am_patel,AM Patel,Panama,Batsman,
unk_fl_patel,FL Patel,Panama,Batsman,
unk_dk_dahyabhai_ahir,DK Dahyabhai Ahir,Panama,Batsman,
unk_p_jayeshbhai_patel,P Jayeshbhai Patel,Panama,Batsman,
unk_abdullah_jasat,Abdullah Jasat,Panama,Batsman,
unk_yi_kachhalia,YI Kachhalia,Panama,Batsman,
unk_sanjay_kumar_ahir,Sanjay Kumar Ahir,Panama,Batsman,
unk_sohel_patel,Sohel Patel,Panama,Batsman,
unk_lr_gaonkar,LR Gaonkar,Panama,Batsman,
unk_p_suman_bhai_ahir,P Suman Bhai Ahir,Panama,Batsman,
unk_sohel_ebrahim_desai,Sohel Ebrahim Desai,Panama,WK-Bat,
