id,name,country,primaryRole,image_url
png_a_vala,A Vala,Papua New Guinea,All-Rounder,
png_tp_ura,TP Ura,Papua New Guinea,Batsman,
png_s_bau,S Bau,Papua New Guinea,Fast Bowler,
png_n_vanua,N Vanua,Papua New Guinea,Fast Bowler,
png_cja_amini,CJA Amini,Papua New Guinea,Fast Bowler,
png_l_siaka,L Siaka,Papua New Guinea,Batsman,
png_ca_soper,CA Soper,Papua New Guinea,Fast Bowler,
png_k_doriga,K Doriga,Papua New Guinea,WK-Bat,
png_h_hiri,H Hiri,Papua New Guinea,Batsman,
png_r_hekure,R Hekure,Papua New Guinea,Fast Bowler,
png_n_pokana,N Pokana,Papua New Guinea,Fast Bowler,
png_kv_morea,KV Morea,Papua New Guinea,Fast Bowler,
png_d_ravu,D Ravu,Papua New Guinea,Fast Bowler,
png_si_kamea,SI Kamea,Papua New Guinea,Fast Bowler,
png_a_nao,A Nao,Papua New Guinea,Fast Bowler,
png_sk_atai,SK Atai,Papua New Guinea,Batsman,
png_j_kila,J Kila,Papua New Guinea,Batsman,
png_g_toka,G Toka,Papua New Guinea,Batsman,
png_hgv_vare,HGV Vare,Papua New Guinea,Batsman,
png_j_kariko,J Kariko,Papua New Guinea,Fast Bowler,
png_md_dai,MD Dai,Papua New Guinea,Batsman,
png_jb_reva,JB Reva,Papua New Guinea,Batsman,
png_vv_morea,VV Morea,Papua New Guinea,Batsman,
png_jnt_vare,JNT Vare,Papua New Guinea,Batsman,
png_d_bau,D Bau,Papua New Guinea,Batsman,
png_wt_gavera,WT Gavera,Papua New Guinea,Batsman,
png_jww_gardner,JWW Gardner,Papua New Guinea,Batsman,
